"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"81","Holy CrossProvidence11-3",2025-11-03,"nc","Holy Cross","Providence","Pat","BE","A","L","79-89",0.118594899840689,0.80515732800843,0.789142831518436,0.475250513358957,-0.475250513358957,39.6,"played",NA,NA,NA,89,"Q2"
"82","Holy CrossProvidence11-3",2025-11-03,"nc","Providence","Holy Cross","BE","Pat","H","W","89-79",0.80515732800843,0.118594899840689,0.87694452176131,0.981469124906098,0.0185308750939018,45.8,"played",NA,NA,NA,314,"Q4"
"83","IdahoWashington St.11-3",2025-11-03,"nc","Idaho","Washington St.","BSky","WCC","A","W","83-81",0.429439968897384,0.639806809238175,0.789142831518436,0.678140769553253,0.321859230446747,85.7,"played",NA,NA,NA,154,"Q3"
"84","IdahoWashington St.11-3",2025-11-03,"nc","Washington St.","Idaho","WCC","BSky","H","L","81-83",0.639806809238175,0.429439968897384,0.87694452176131,0.90447311566191,-0.90447311566191,18.3,"played",NA,NA,NA,156,"Q3"
"85","Incarnate WordColorado St.11-3",2025-11-03,"nc","Colorado St.","Incarnate Word","MWC","Slnd","H","W","98-64",0.767733008298945,0.263234314366968,0.87694452176131,0.95225842230772,0.0477415776922805,94.4,"played",NA,NA,NA,246,"Q4"
"86","Incarnate WordColorado St.11-3",2025-11-03,"nc","Incarnate Word","Colorado St.","Slnd","MWC","A","L","64-98",0.263234314366968,0.767733008298945,0.789142831518436,0.531013102315632,-0.531013102315632,6.6,"played",NA,NA,NA,92,"Q2"
"87","Indiana St.Charlotte11-3",2025-11-03,"nc","Charlotte","Indiana St.","Amer","MVC","H","W","92-76",0.573527564507938,0.366604501706776,0.87694452176131,0.924882965393851,0.0751170346061489,81.8,"played",NA,NA,NA,202,"Q4"
"88","Indiana St.Charlotte11-3",2025-11-03,"nc","Indiana St.","Charlotte","MVC","Amer","A","L","76-92",0.366604501706776,0.573527564507938,0.789142831518436,0.73565536966842,-0.73565536966842,14.7,"played",NA,NA,NA,169,"Q3"
"89","IU IndyOhio St.11-3",2025-11-03,"nc","IU Indy","Ohio St.","Horz","B10","A","L","102-118",0.17849050949802,0.902026988834616,0.789142831518436,0.289012267418525,-0.289012267418525,57.3,"played",NA,NA,NA,36,"Q1"
"90","IU IndyOhio St.11-3",2025-11-03,"nc","Ohio St.","IU Indy","B10","Horz","H","W","118-102",0.902026988834616,0.17849050949802,0.87694452176131,0.970413856022101,0.0295861439778988,59.8,"played",NA,NA,NA,310,"Q4"
"91","Jackson St.Illinois11-3",2025-11-03,"nc","Illinois","Jackson St.","B10","SWAC","H","W","113-55",0.969884240330622,0.118761236014566,0.87694452176131,0.981440179018962,0.018559820981038,99.5,"played",NA,NA,NA,347,"Q4"
"92","Jackson St.Illinois11-3",2025-11-03,"nc","Jackson St.","Illinois","SWAC","B10","A","L","55-113",0.118761236014566,0.969884240330622,0.789142831518436,0.104110731970469,-0.104110731970469,2.3,"played",NA,NA,NA,9,"Q1"
"93","JacksonvilleMiami FL11-3",2025-11-03,"nc","Jacksonville","Miami FL","ASun","ACC","A","L","69-86",0.162113269512575,0.882691289319949,0.789142831518436,0.332167029315506,-0.332167029315506,45,"played",NA,NA,NA,38,"Q1"
"94","JacksonvilleMiami FL11-3",2025-11-03,"nc","Miami FL","Jacksonville","ACC","ASun","H","W","86-69",0.882691289319949,0.162113269512575,0.87694452176131,0.973568097743639,0.026431902256361,64.1,"played",NA,NA,NA,294,"Q4"
"95","James MadisonAkron11-3",2025-11-03,"nc","Akron","James Madison","MAC","SB","H","W","85-71",0.859951675935945,0.24958159849066,0.87694452176131,0.95541095834949,0.0445890416505097,47.2,"played",NA,NA,NA,245,"Q4"
"96","James MadisonAkron11-3",2025-11-03,"nc","James Madison","Akron","SB","MAC","A","L","71-85",0.24958159849066,0.859951675935945,0.789142831518436,0.37868762768362,-0.37868762768362,69.6,"played",NA,NA,NA,53,"Q1"
"97","LafayetteSaint Joseph's11-3",2025-11-03,"nc","Lafayette","Saint Joseph's","Pat","A10","A","L","76-85",0.148038152211587,0.603918832467466,0.789142831518436,0.710527162230888,-0.710527162230888,28,"played",NA,NA,NA,193,"Q3"
"98","LafayetteSaint Joseph's11-3",2025-11-03,"nc","Saint Joseph's","Lafayette","A10","Pat","H","W","85-76",0.603918832467466,0.148038152211587,0.87694452176131,0.976197635933255,0.0238023640667452,40.5,"played",NA,NA,NA,327,"Q4"
"99","LehighHouston11-3",2025-11-03,"nc","Houston","Lehigh","B12","Pat","H","W","75-57",0.978521648703588,0.156525551853959,0.87694452176131,0.974620806065329,0.0253791939346708,88.1,"played",NA,NA,NA,296,"Q4"
"100","LehighHouston11-3",2025-11-03,"nc","Lehigh","Houston","Pat","B12","A","L","57-75",0.156525551853959,0.978521648703588,0.789142831518436,0.0759121042659328,-0.0759121042659328,53.4,"played",NA,NA,NA,10,"Q1"
"101","LipscombVanderbilt11-3",2025-11-03,"nc","Lipscomb","Vanderbilt","ASun","SEC","A","L","61-105",0.412753108719297,0.960976761899221,0.789142831518436,0.131927059377733,-0.131927059377733,6.2,"played",NA,NA,NA,16,"Q1"
"102","LipscombVanderbilt11-3",2025-11-03,"nc","Vanderbilt","Lipscomb","SEC","ASun","H","W","105-61",0.960976761899221,0.412753108719297,0.87694452176131,0.910226541855852,0.089773458144148,99.6,"played",NA,NA,NA,152,"Q3"
"103","LIUNotre Dame11-3",2025-11-03,"nc","LIU","Notre Dame","NEC","ACC","A","L","67-89",0.309128827798237,0.774678598936262,0.789142831518436,0.521198773117561,-0.521198773117561,10.1,"played",NA,NA,NA,81,"Q2"
"104","LIUNotre Dame11-3",2025-11-03,"nc","Notre Dame","LIU","ACC","NEC","H","W","89-67",0.774678598936262,0.309128827798237,0.87694452176131,0.940922114246415,0.0590778857535851,93.2,"played",NA,NA,NA,201,"Q4"
"105","Louisiana MonroeNorthern Illinois11-3",2025-11-03,"nc","Louisiana Monroe","Northern Illinois","SB","MAC","A","L","82-102",0.0597894950093278,0.228479312013415,0.789142831518436,0.926673836590088,-0.926673836590088,4,"played",NA,NA,NA,312,"Q4"
"106","Louisiana MonroeNorthern Illinois11-3",2025-11-03,"nc","Northern Illinois","Louisiana Monroe","MAC","SB","H","W","102-82",0.228479312013415,0.0597894950093278,0.87694452176131,0.991155557967212,0.00884444203278845,31,"played",NA,NA,NA,359,"Q4"
"107","LouisianaBall St.11-3",2025-11-03,"nc","Ball St.","Louisiana","MAC","SB","H","W","75-64",0.287282535322287,0.138578980201124,0.87694452176131,0.977924226250774,0.0220757737492259,34.3,"played",NA,NA,NA,336,"Q4"
"108","LouisianaBall St.11-3",2025-11-03,"nc","Louisiana","Ball St.","SB","MAC","A","L","64-75",0.138578980201124,0.287282535322287,0.789142831518436,0.902769714793892,-0.902769714793892,11.1,"played",NA,NA,NA,315,"Q4"
"109","Loyola MDTowson11-3",2025-11-03,"nc","Loyola MD","Towson","Pat","CAA","N","L","56-67",0.124190125330952,0.428353969810431,0.837778001870703,0.873288982294842,-0.873288982294842,14.6,"played",NA,NA,NA,159,"Q3"
"110","Loyola MDTowson11-3",2025-11-03,"nc","Towson","Loyola MD","CAA","Pat","N","W","67-56",0.428353969810431,0.124190125330952,0.837778001870703,0.973276444808109,0.0267235551918914,38.4,"played",NA,NA,NA,340,"Q4"
