"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"58",2017,27,27,"Tre'Davious White","Bills","DB","Louisiana State","LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png"
"59",2017,28,28,"Taco Charlton","Cowboys","DE","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"60",2017,29,29,"David Njoku","Browns","TE","Miami (FL)","Miami FL","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png"
"61",2017,30,30,"T.J. Watt","Steelers","LB","Wisconsin","Wisconsin","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png"
"62",2017,31,31,"Reuben Foster","49ers","LB","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"63",2017,32,32,"Ryan Ramczyk","Saints","T","Wisconsin","Wisconsin","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png"
"64",2018,1,1,"Baker Mayfield","Browns","QB","Oklahoma","Oklahoma","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png"
"65",2018,2,2,"Saquon Barkley","Giants","RB","Penn State","Penn State","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png"
"66",2018,3,3,"Sam Darnold","Jets","QB","USC","USC","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png"
"67",2018,4,4,"Denzel Ward","Browns","DB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"68",2018,5,5,"Bradley Chubb","Broncos","DE","North Carolina State","NC State","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png"
"69",2018,6,6,"Quenton Nelson","Colts","G","Notre Dame","Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"70",2018,7,7,"Josh Allen","Bills","QB","Wyoming","Wyoming","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png"
"71",2018,8,8,"Roquan Smith","Bears","LB","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
