Rk,Coach,Yrs,From▼,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
414,Paul Schissler,4,1933,1936,46,14,29,3,.326,-15,0,0,0,0,,3.8,2,0,0,0
415,Lone Star Dietz,2,1933,1934,24,11,11,2,.500,0,0,0,0,0,,2.5,2,0,0,0
416,Cap McEwan,2,1933,1934,21,9,11,1,.450,-2,0,0,0,0,,2.5,2,0,0,0
417,Forrest Douds,1,1933,1933,11,3,6,2,.333,-3,0,0,0,0,,5.0,5,0,0,0
418,Mike Palm,1,1933,1933,7,3,3,1,.500,0,0,0,0,0,,4.0,4,0,0,0
419,Lud Wray,4,1932,1935,41,13,25,3,.342,-12,0,0,0,0,,4.0,3,0,0,0
420,Jack Chevigny,1,1932,1932,10,2,6,2,.250,-4,0,0,0,0,,6.0,6,0,0,0
421,Hal Hanson,1,1932,1932,12,2,7,3,.222,-5,0,0,0,0,,8.0,8,0,0,0
422,Potsy Clark,10,1931,1940,118,64,42,12,.604,22,1,1,1,0,1.000,2.6,1,1,0,0
423,Ed Robinson,1,1931,1931,11,4,4,3,.500,0,0,0,0,0,,6.0,6,0,0,0
424,Marty Brill,1,1931,1931,7,3,3,1,.500,0,0,0,0,0,,7.0,7,0,0,0
425,Al Cornsweet,1,1931,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
426,Hoge Workman,1,1931,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
427,Hinkey Haines,1,1931,1931,4,1,3,0,.250,-2,0,0,0,0,,7.0,7,0,0,0
428,Steve Owen+,24,1930,1953,270,153,100,17,.605,53,10,10,2,8,.200,2.3,1,2,0,0
429,Ralph Jones,3,1930,1932,41,24,10,7,.706,14,0,0,0,0,,2.3,1,1,0,0
430,Benny Friedman+,2,1930,1932,14,5,9,0,.357,-4,0,0,0,0,,4.0,2,0,0,0
431,Hal Griffen,1,1930,1930,14,5,6,3,.455,-1,0,0,0,0,,7.0,7,0,0,0
432,George Gibson,1,1930,1930,14,3,10,1,.231,-7,0,0,0,0,,9.5,9,0,0,0
433,Jack Fish,1,1930,1930,9,1,7,1,.125,-6,0,0,0,0,,11.0,11,0,0,0
