"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"288","UT Arlington","WAC",231,231,230,255,-14.35,-5.13,11,18,5,7,3,11,0,2,0,4,3,7,8,5,2025-03-14,0.366391184573003,"WAC",-12.81,-4.54,-7.58,-3.2,-7.25,-2.36,-0.82,-2.46,-5.29,-4.24
"289","Texas","SEC",39,38,16,285,0.28,-0.2,19,15,11,2,4,6,7,10,3,5,2,0,7,0,2025-03-14,0.895316804407714,"SEC",0.04,0.1,-1.03,-1.45,0.44,1.05,0.76,-1.22,0.37,0.13
"290","UTEP","CUSA",157,157,134,196,-9.89,-1.2,15,15,7,3,4,8,1,1,1,6,7,8,6,0,2025-03-14,0.570247933884298,"CUSA",-8.33,-0.86,-7.06,-3.53,-3.71,-1.09,0.41,-3.75,-5.32,0.33
"291","UTSA","American",201,200,121,95,-13.7,-3.57,10,19,4,6,4,11,1,2,0,7,3,4,6,6,2025-03-14,0.449035812672176,"American",-12.68,-3.34,-8.46,-5.87,-6.04,-0.77,-0.02,-3.98,-3.58,-5.1
"292","Toledo","Mid-American",236,236,154,68,-9.98,-2.77,17,15,6,6,6,9,0,3,0,4,5,4,12,4,2025-03-14,0.352617079889807,"Mid-American",-8.99,-2.53,-5.84,-3.31,-4.77,-0.91,-0.74,-2.63,-2.48,-3.14
"293","Towson","CAA",149,148,240,148,-7.05,-5.53,21,11,4,8,9,5,0,1,1,2,8,6,12,2,2025-03-14,0.59228650137741,"CAA",-5.83,-5.06,0.03,-0.42,-1.54,-3.87,-0.21,-0.81,-3.54,-1.27
"294","Troy(AQ)","Sun Belt",99,100,169,64,-5.36,-2.24,21,10,5,5,9,6,0,3,2,1,5,3,14,3,2025-03-14,0.730027548209366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Tulane","American",152,153,232,328,-9.23,-5.8,17,13,4,7,4,7,0,2,0,5,5,4,12,2,2025-03-14,0.584022038567493,"American",-8.06,-5.51,-2.78,-1.98,-3.89,-2.19,-0.97,-2.8,-3.03,-1.26
"296","Tulsa","American",272,267,199,349,-15.71,-6.08,11,20,4,7,3,8,0,2,1,4,4,7,6,7,2025-03-14,0.253443526170799,"American",-14.45,-5.66,-8.31,-7.9,-4.54,-2.01,-0.9,-2.48,-4.79,-6.28
"297","Air Force","Mountain West",323,323,97,337,-20.19,-6.91,4,28,3,8,0,14,0,5,0,10,1,8,3,5,2025-03-14,0.112947658402204,"Mountain West",-19.18,-6.46,-12,-10.32,-8.17,-0.69,-1.71,-6.45,-6.43,-4.59
