"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"308","Virginia","ACC",109,110,61,43,-6.26,-0.54,15,17,7,4,4,7,2,9,1,5,5,2,7,1,2025-03-14,0.702479338842975,"ACC",-5.51,-0.67,-4.12,-3.54,-1.22,-0.75,-1.52,-2.72,-0.62,-0.65
"309","Wake Forest","ACC",68,69,60,52,-0.25,0.3,21,11,8,3,6,6,2,8,6,1,7,2,6,0,2025-03-14,0.815426997245179,"ACC",0.65,0.37,0.73,-0.36,0.72,0.29,-0.5,1.46,-0.44,0.13
"310","Washington St.","WCC",111,111,93,143,-5.59,-0.3,19,14,10,3,4,7,1,7,3,5,4,0,11,2,2025-03-14,0.696969696969697,"WCC",-4.75,-0.0500000000000001,-4.27,-1.6,-2.45,-0.7,-2.05,-2.19,0.63,-1.14
"311","Washington","Big Ten",117,114,38,257,-5.88,-0.44,12,18,8,2,2,9,3,12,3,4,1,2,5,0,2025-03-14,0.680440771349862,"Big Ten",-5.6,-0.2,-5.4,-4.71,-1.89,1,-3.23,-0.98,-1.52,0.13
"312","Weber St.","Big Sky",301,301,245,151,-18.22,-5.74,9,22,3,8,4,11,0,1,0,4,1,9,8,8,2025-03-14,0.173553719008264,"Big Sky",-17.02,-5.45,-10.81,-8.98,-7.45,-0.59,-0.31,-2.59,-7.25,-6.87
"313","West Virginia","Big 12",51,50,23,62,0.8,1.09,19,13,9,2,4,7,6,9,4,4,4,0,5,0,2025-03-14,0.862258953168044,"Big 12",1.47,1.08,1.07,0.49,0.49,0.49,1.3,-0.63,0.65,0.15
"314","Western Carolina","Southern",342,342,129,27,-17.22,-4.26,5,22,1,7,1,14,0,3,0,5,1,9,4,5,2025-03-14,0.0606060606060606,"Southern",-16.6,-4.07,-11.59,-6.36,-9.3,-0.94,-0.87,-3.44,-7.63,-4.66
"315","Western Illinois","Ohio Valley",337,337,360,323,-17.31,-4.08,9,19,3,5,4,11,0,0,1,1,1,5,7,13,2025-03-14,0.0743801652892562,"Ohio Valley",-16.24,-3.64,-12.6,-6.63,-8.69,-0.92,0,-0.35,-3.93,-11.96
"316","Western Michigan","Mid-American",279,279,223,154,-15.98,-7.55,11,20,2,10,6,10,0,2,1,3,2,6,8,9,2025-03-14,0.234159779614325,"Mid-American",-14.78,-7.07,-6.91,-8.36,-5.62,-0.8,-0.68,-2.09,-3.8,-8.21
"317","Wichita St.","American",134,137,126,188,-8.23,-0.78,18,14,9,3,5,6,0,4,3,2,9,3,6,5,2025-03-14,0.633608815426997,"American",-7.27,-0.36,-6.42,-4.3,-2.84,-0.13,-1.66,0.04,-1.37,-4.28
"318","William & Mary","CAA",218,217,283,277,-11.79,-5.4,15,15,4,7,4,11,0,1,0,2,4,8,11,4,2025-03-14,0.402203856749311,"CAA",-10.6,-4.86,-4.82,-1.32,-7.48,-1.8,-0.26,-1.29,-5.87,-3.18
"319","Winthrop","Big South",163,163,236,210,-7.14,-2.89,20,11,7,5,5,8,0,2,0,3,4,4,16,2,2025-03-14,0.553719008264463,"Big South",-6.11,-2.46,-3.14,-1.29,-4.31,-0.51,-0.58,-1.82,-2.55,-1.16
"320","Green Bay","Horizon",338,338,219,114,-22.94,-5.68,4,27,2,8,1,17,0,2,0,3,0,13,4,9,2025-03-14,0.071625344352617,"Horizon",-21.79,-5.24,-15.75,-9.23,-12.56,0,-0.73,-1.94,-10.8,-8.32
"321","Wisconsin","Big Ten",15,18,37,115,5.34,1.55,25,8,10,1,6,5,7,7,10,1,2,0,6,0,2025-03-14,0.961432506887052,"Big Ten",5.63,1.65,2.86,0.92,2.53,2.18,2.17,2.91,0.31,0.24
"322","Milwaukee","Horizon",135,134,301,212,-8.03,-2.43,19,11,5,4,7,8,0,1,1,1,6,7,12,2,2025-03-14,0.630853994490358,"Horizon",-6.95,-2.02,-3.99,-2.16,-5.05,0.26,-0.47,-0.39,-4.78,-1.31
"323","Wright St.","Horizon",220,220,279,189,-14.61,-3.34,13,18,4,5,3,12,0,1,0,2,4,10,9,5,2025-03-14,0.396694214876033,"Horizon",-13.73,-3.13,-9.88,-3.37,-8.82,-1.54,-0.19,-1.5,-7.71,-4.33
"324","Wyoming","Mountain West",198,197,83,177,-11.6,-2.07,11,20,6,4,3,10,0,7,1,6,2,5,8,2,2025-03-14,0.457300275482094,"Mountain West",-10.78,-1.78,-8.15,-4.64,-4.33,-1.81,-2.13,-3.41,-3.77,-1.47
"325","Xavier","Big East",45,46,58,147,-0.12,-0.73,21,11,8,3,5,7,1,9,8,2,5,0,7,0,2025-03-14,0.878787878787879,"Big East",0.37,-0.45,1.23,1.26,-0.43,-0.46,-2.13,1.44,0.8,0.26
"326","Youngstown St.","Horizon",190,191,324,311,-10.16,-3.92,19,13,4,5,9,6,0,1,0,2,7,5,12,5,2025-03-14,0.479338842975207,"Horizon",-9.12,-3.59,-4.89,-4.35,-3.2,-1.57,-0.33,-1.39,-3.21,-4.19
"327","Central Arkansas","Atlantic Sun",343,343,147,65,-18.98,-5.98,7,24,2,9,1,17,0,4,0,4,0,6,7,10,2025-03-14,0.0578512396694215,"Atlantic Sun",-18.09,-5.73,-11.77,-6.33,-11.29,-0.47,-1.47,-2.44,-4.96,-9.22
"328","Texas A&M Commerce","Southland",335,335,151,58,-21.03,-5.85,5,26,2,9,1,16,0,5,0,1,0,8,5,12,2025-03-14,0.0798898071625345,"Southland",-20.06,-5.64,-14.42,-9.01,-11.05,0,-1.75,-0.74,-6.72,-10.85
"329","Southern Indiana","Ohio Valley",331,331,362,341,-18.47,-4.23,8,20,3,5,2,13,0,0,0,1,0,6,8,13,2025-03-14,0.0909090909090909,"Ohio Valley",-17.39,-3.78,-13.61,-6.51,-10.88,0,0,-0.64,-4.88,-11.87
"330","Stonehill","Northeast",312,312,337,266,-14.56,-5.04,13,17,6,7,3,13,0,1,0,2,1,3,12,11,2025-03-14,0.143250688705234,"Northeast",-13.69,-4.57,-8.2,-2.66,-10.09,-0.94,-0.26,-1.22,-3.13,-9.08
"331","Iowa St.","Big 12",10,9,34,94,4.51,1.68,24,9,10,1,6,5,9,7,7,1,3,1,5,0,2025-03-14,0.975206611570248,"Big 12",5.43,1.75,3.47,2.38,2.32,0.73,3.63,1.13,0.54,0.13
"332","James Madison","Sun Belt",158,159,250,172,-8.39,-3.86,18,12,5,6,5,8,0,2,0,3,6,6,12,1,2025-03-14,0.567493112947658,"Sun Belt",-7.38,-3.62,-3.01,-0.88,-5.55,-0.95,-0.98,-2.23,-4,-0.17
"333","Longwood","Big South",211,211,266,271,-10.71,-2.22,15,14,8,4,5,7,0,1,0,3,5,4,10,6,2025-03-14,0.421487603305785,"Big South",-9.73,-1.81,-7.05,-3.34,-4.6,-1.79,-0.35,-1.7,-2.44,-5.24
"334","College of Charleston","CAA",148,147,289,282,-5.65,-1.31,23,9,9,3,7,5,1,0,0,3,9,5,13,1,2025-03-14,0.59504132231405,"CAA",-4.54,-0.89,-2.95,-0.88,-2.7,-0.96,0,-1.58,-2.68,-0.28
"335","Grand Canyon","WAC",92,93,296,286,-3.88,-2.21,24,7,9,4,5,4,0,1,1,3,8,2,15,1,2025-03-14,0.74931129476584,"WAC",-2.67,-1.85,-1.05,-0.0399999999999999,-2.24,-0.39,-0.4,-1.61,-0.45,-0.21
"336","Akron","Mid-American",91,91,297,191,-2.89,-2.98,25,6,6,5,8,4,0,1,1,2,6,3,18,0,2025-03-14,0.752066115702479,"Mid-American",-1.94,-2.73,0.66,0.8,-1.41,-1.33,-0.21,-0.94,-1.77,0.98
"337","UAB","American",110,116,202,352,-6.74,-5.03,20,11,6,6,5,5,0,2,3,2,5,5,12,2,2025-03-14,0.699724517906336,"American",-5.86,-4.77,-1.21,-2.53,-1.77,-1.56,-0.9,-0.68,-3,-1.28
"338","Auburn","SEC",2,2,2,8,13.19,4.25,28,4,12,1,8,2,16,4,6,0,2,0,4,0,2025-03-14,0.997245179063361,"SEC",12.62,4.17,7.85,3.03,5.18,4.41,9.7,2.5,0.24,0.18
"339","Long Beach St.","Big West",326,326,122,149,-19.52,-5.94,5,25,2,8,4,11,0,4,0,4,2,10,3,7,2025-03-14,0.104683195592286,"Big West",-18.78,-5.47,-13.31,-9.87,-6.36,-2.55,-1.45,-2.83,-8.04,-6.46
"340","McNeese(AQ)","Southland",58,58,212,39,-1.9,-2.16,25,6,4,5,10,2,0,2,1,2,6,2,18,0,2025-03-14,0.84297520661157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Montana St.","Big Sky",185,186,190,80,-13.47,-4.93,14,18,4,8,3,14,0,3,0,3,2,8,12,4,2025-03-14,0.493112947658402,"Big Sky",-11.88,-4.24,-6.96,-2.25,-8.95,-0.68,-0.96,-1.15,-6.78,-2.99
"342","Morehead St.","Ohio Valley",317,318,302,78,-14.15,-3.92,12,17,2,6,6,10,0,2,0,1,3,3,9,11,2025-03-14,0.129476584022039,"Ohio Valley",-13.12,-3.53,-8.63,-4.64,-6.54,-1.94,-0.53,-0.7,-1.88,-10.01
"343","Colgate","Patriot",247,247,315,195,-16.1,-7.84,13,19,2,10,4,13,0,1,1,2,0,8,12,8,2025-03-14,0.322314049586777,"Patriot",-14.84,-7.09,-6.91,-3.53,-9.6,-1.71,-0.19,-0.92,-6.76,-6.97
"344","Connecticut","Big East",32,29,54,63,1.83,0.08,23,10,8,3,7,4,6,6,7,3,4,1,6,0,2025-03-14,0.914600550964187,"Big East",2.24,-0.00999999999999985,2.21,1.35,2.05,-1.16,0.97,1.33,-0.2,0.14
"345","Drake(AQ)","Missouri Valley",56,56,198,258,1.3,1.24,28,3,8,0,10,1,1,0,5,0,11,3,11,0,2025-03-14,0.848484848484849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Duquesne","Atlantic 10",146,145,142,333,-13.86,-6.73,12,19,4,8,2,8,0,2,4,6,5,6,3,5,2025-03-14,0.600550964187328,"Atlantic 10",-12.8,-6.51,-5.56,-4.87,-4.77,-3.16,-0.52,-3.67,-4.14,-4.47
"347","Grambling St.","SWAC",325,325,200,15,-17.73,-6.22,9,22,0,10,4,12,0,5,0,0,0,4,9,13,2025-03-14,0.107438016528926,"SWAC",-16.85,-5.83,-10.18,-6.72,-7.44,-2.69,-1.43,0,-3.32,-12.1
"348","Howard","MEAC",316,317,216,91,-14.32,-6.79,10,18,3,10,3,11,0,4,0,0,1,3,9,11,2025-03-14,0.132231404958678,"MEAC",-13.56,-6.42,-6.17,-3.56,-7.26,-2.74,-1.23,0,-2.31,-10.02
"349","Illinois","Big Ten",17,15,8,22,3.49,0.98,21,12,8,3,5,5,8,10,7,2,0,0,6,0,2025-03-14,0.955922865013774,"Big Ten",3.38,0.77,2.48,1.11,1.22,1.05,2.04,1.15,0,0.19
"350","New Mexico","Mountain West",42,42,79,61,1.91,-0.19,25,7,7,3,7,4,3,4,8,1,4,2,10,0,2025-03-14,0.887052341597796,"Mountain West",2.82,0.09,3.07,1.73,0.96,0.13,0.6,2.47,-0.91,0.66
"351","North Carolina St.","ACC",132,132,75,93,-9.77,-1.31,12,19,7,4,0,11,0,8,2,8,2,3,8,0,2025-03-14,0.639118457300275,"ACC",-8.86,-1.27,-7.59,-2.72,-5.54,-0.6,-2.58,-4.46,-2.08,0.26
"352","Oakland","Horizon",193,192,114,6,-11.8,-3.64,15,18,2,8,6,11,0,5,1,2,5,8,9,3,2025-03-14,0.471074380165289,"Horizon",-11.01,-3.5,-6.93,-3.45,-5.99,-1.57,-1.35,-1.24,-5.9,-2.52
"353","Oregon","Big Ten",29,28,26,66,4.91,3.02,24,9,11,0,7,4,8,7,8,2,5,0,3,0,2025-03-14,0.922865013774105,"Big Ten",5.35,3.16,2.01,0.12,2.76,2.47,2.92,1.61,0.72,0.1
"354","Saint Mary's","WCC",21,21,92,103,3.23,-0.15,27,5,9,3,9,1,4,3,6,2,7,0,10,0,2025-03-14,0.944903581267218,"WCC",4.23,0.14,4.24,1.61,3.05,-0.43,1.44,0.94,1.1,0.75
"355","Saint Peter's","Metro Atlantic",286,286,359,304,-14.28,-2.11,11,16,4,3,6,10,0,0,0,1,1,3,10,12,2025-03-14,0.214876033057851,"Metro Atlantic",-13.31,-1.67,-11.64,-5.63,-7.68,0,0,-0.47,-2.23,-10.61
"356","Samford","Southern",115,117,180,112,-5.63,-0.45,20,10,8,3,9,6,0,2,3,2,5,6,12,0,2025-03-14,0.68595041322314,"Southern",-4.83,-0.08,-3.92,-2.15,-1.85,-0.83,-0.31,-0.47,-4.46,0.41
"357","South Dakota St.","Summit",130,130,162,73,-7.57,-2.81,17,12,6,6,4,8,0,2,1,3,5,4,11,3,2025-03-14,0.644628099173554,"Summit",-6.12,-2.4,-2.8,-0.37,-4.26,-1.49,-0.6,-1,-2.44,-2.08
"358","Stetson","Atlantic Sun",353,353,239,133,-20.29,-8.64,6,24,0,11,3,11,0,2,0,2,1,7,5,13,2025-03-14,0.0303030303030303,"Atlantic Sun",-19.29,-8.31,-10,-8.36,-7.24,-3.69,-0.44,-1.15,-5.61,-12.09
"359","Vermont","America East",232,232,303,211,-8.95,-5.72,19,12,5,8,7,8,0,2,1,0,3,3,15,7,2025-03-14,0.363636363636364,"America East",-8.06,-5.2,-1.92,-2.47,-4.7,-0.89,-0.58,0.38,-1.89,-5.97
"360","Wagner","Northeast",339,339,325,162,-13.7,-3.19,10,16,4,5,6,10,0,1,0,2,1,1,9,12,2025-03-14,0.068870523415978,"Northeast",-13,-2.9,-9.18,-5.76,-7.24,0,-0.18,-1.06,-0.65,-11.11
"361","Western Kentucky","CUSA",159,158,128,122,-9.63,-1.53,15,15,7,4,4,9,1,2,0,5,9,5,5,3,2025-03-14,0.564738292011019,"CUSA",-8.22,-1.28,-6,-3.3,-3.98,-0.94,0.15,-3.3,-2.63,-2.44
"362","Yale","Ivy",71,71,260,216,-3.94,-3.95,19,7,6,6,7,6,0,1,2,1,4,3,13,2,2025-03-14,0.807162534435262,"Ivy",-2.91,-3.48,0.57,0.5,-2.78,-0.63,-0.19,0.01,-1.59,-1.14
"363","Mercyhurst","Northeast",336,336,327,230,-13.57,-7.03,12,16,3,9,4,14,0,2,0,3,0,1,12,10,2025-03-14,0.0771349862258953,"Northeast",-12.55,-6.35,-6.2,-1.78,-10.77,0,-0.72,-2,-0.81,-9.02
"364","West Georgia","Atlantic Sun",345,345,249,215,-21.39,-8.94,5,25,1,11,2,15,0,1,0,4,0,9,5,11,2025-03-14,0.0523415977961432,"Atlantic Sun",-20.15,-8.33,-11.82,-7.26,-11.33,-1.56,-0.28,-2.54,-7.31,-10.02
"365","Bryant(AQ)","America East",151,150,312,198,-8.07,-6.67,20,11,4,9,10,7,0,1,0,3,3,2,17,5,2025-03-14,0.586776859504132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","Colorado St.(AQ)","Mountain West",50,52,86,139,-0.25,-2.67,24,9,6,5,7,4,2,5,7,2,4,2,11,0,2025-03-14,0.865013774104683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Houston(AQ)","Big 12",3,3,25,74,9.92,-0.09,29,4,8,3,10,0,12,3,7,1,5,0,5,0,2025-03-14,0.994490358126722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Norfolk St.(AQ)","MEAC",188,183,243,101,-6.32,-3.67,20,10,7,7,8,9,0,2,1,2,3,3,16,3,2025-03-14,0.484848484848485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","St. John's (NY)(AQ)","Big East",13,14,66,167,6.6,0.18,29,4,9,2,8,2,5,4,10,0,8,0,6,0,2025-03-14,0.966942148760331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
