"","date","type","game_id","year","location","team","opponent"
"237",2023-11-08,"nond1","CurryNew Hampshire11-8",2024,"home","New Hampshire","Curry"
"238",2023-11-08,"nond1","Sul Ross St.New Mexico St.11-8",2024,"home","New Mexico St.","Sul Ross St."
"239",2023-11-08,"nond1","Lewis & ClarkPortland11-8",2024,"home","Portland","Lewis & Clark"
"240",2023-11-08,"nond1","Dakota WesleyanSouth Dakota St.11-8",2024,"home","South Dakota St.","Dakota Wesleyan"
"241",2023-11-08,"nond1","FisherBryant11-8",2024,"home","Bryant","Fisher"
"242",2023-11-08,"nond1","Mt. MartyNorth Dakota St.11-8",2024,"home","North Dakota St.","Mt. Marty"
"243",2023-11-09,"nc","Portland St.UC Santa Barbara11-9",2024,"home","UC Santa Barbara","Portland St."
"244",2023-11-09,"nond1","Champion Chris.Arkansas Pine Bluff11-9",2024,"home","Arkansas Pine Bluff","Champion Chris."
"245",2023-11-09,"nc","Northwestern St.Tulane11-9",2024,"home","Tulane","Northwestern St."
"246",2023-11-09,"nc","Tarleton St.FIU11-9",2024,"home","FIU","Tarleton St."
"247",2023-11-09,"nond1","Point ParkRobert Morris11-9",2024,"home","Robert Morris","Point Park"
"248",2023-11-09,"nc","HowardGeorgia Tech11-9",2024,"home","Georgia Tech","Howard"
"249",2023-11-09,"nc","Cal PolyDenver11-9",2024,"home","Denver","Cal Poly"
"250",2023-11-09,"nc","Cal St. NorthridgeIdaho11-9",2024,"home","Idaho","Cal St. Northridge"
"251",2023-11-09,"nc","PepperdineUC Davis11-9",2024,"home","UC Davis","Pepperdine"
"252",2023-11-09,"nond1","John BrownBaylor11-9",2024,"home","Baylor","John Brown"
"253",2023-11-09,"nc","James MadisonKent St.11-9",2024,"home","Kent St.","James Madison"
"254",2023-11-09,"nc","Utah ValleySam Houston St.11-9",2024,"home","Sam Houston St.","Utah Valley"
"255",2023-11-09,"nc","St. Francis PASan Francisco11-9",2024,"home","San Francisco","St. Francis PA"
"256",2023-11-09,"nc","LamarSMU11-9",2024,"home","SMU","Lamar"
"257",2023-11-09,"nc","North FloridaCharleston Southern11-9",2024,"home","Charleston Southern","North Florida"
"258",2023-11-09,"nc","AmericanWilliam & Mary11-9",2024,"home","William & Mary","American"
"259",2023-11-09,"nond1","ApprenticeNorfolk St.11-9",2024,"home","Norfolk St.","Apprentice"
"260",2023-11-09,"nc","Florida A&MNebraska11-9",2024,"home","Nebraska","Florida A&M"
"261",2023-11-09,"nond1","Science & Arts Okla.UTEP11-9",2024,"home","UTEP","Science & Arts Okla."
"262",2023-11-09,"nond1","AndrewsFort Wayne11-9",2024,"home","Fort Wayne","Andrews"
"263",2023-11-09,"nc","Nebraska OmahaTCU11-9",2024,"home","TCU","Nebraska Omaha"
"264",2023-11-09,"nc","MercerChicago St.11-9",2024,"home","Chicago St.","Mercer"
"265",2023-11-09,"nond1","MolloyWagner11-9",2024,"home","Wagner","Molloy"
"266",2023-11-09,"nc","TowsonCoppin St.11-9",2024,"home","Coppin St.","Towson"
"267",2023-11-09,"nond1","Columbia Int'lPresbyterian11-9",2024,"home","Presbyterian","Columbia Int'l"
"268",2023-11-09,"nc","Northern KentuckyWashington11-9",2024,"home","Washington","Northern Kentucky"
"269",2023-11-09,"nc","East Tennessee St.Elon11-9",2024,"home","Elon","East Tennessee St."
"270",2023-11-09,"nc","Alabama A&MNorth Alabama11-9",2024,"home","North Alabama","Alabama A&M"
"271",2023-11-09,"nond1","ChristendomVMI11-9",2024,"home","VMI","Christendom"
"272",2023-11-09,"nc","South Carolina St.South Florida11-9",2024,"home","South Florida","South Carolina St."
"273",2023-11-09,"nond1","UHSPEvansville11-9",2024,"home","Evansville","UHSP"
"274",2023-11-09,"nond1","Virginia-LynchburgNorth Carolina Central11-9",2024,"home","North Carolina Central","Virginia-Lynchburg"
"275",2023-11-09,"nc","Southern IndianaMichigan St.11-9",2024,"home","Michigan St.","Southern Indiana"
"276",2023-11-09,"nond1","North ParkSIU Edwardsville11-9",2024,"home","SIU Edwardsville","North Park"
