Rank,Institution,Conference,Division,fall_final,w_cc_rank,w_cc_pts,m_cc_rank,m_cc_pts,w_fh_rank,w_fh_pts,fb_rank,fb_pts,w_soc_rank,w_soc_pts,m_soc_rank,m_soc_pts,w_vb_rank,w_vb_pts
148,Columbia,Ivy League,FCS,26,32,26,0,0,0,0,0,0,0,0,0,0,0,0
148,Northeastern,CAA,DI,26,32,26,0,0,0,0,0,0,0,0,0,0,0,0
151,Arizona State,Pac-12,FBS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Ball State,MAC,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Bucknell,Patriot,FCS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,California,Pac-12,FBS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Cincinnati,American,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Cleveland State,Horizon League,DI,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0
151,Coastal Carolina,Sun Belt,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Colgate,Patriot,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Davidson,Atlantic 10,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Delaware State,MEAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Eastern Kentucky,ASUN,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Florida A&M,SWAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Fordham,Atlantic 10,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Georgia Southern,Sun Belt,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Hawaii,Big West,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Idaho,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Illinois,Big Ten,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Jackson State,SWAC,FCS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,James Madison,Sun Belt,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Lamar,Southland,FCS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Lehigh,Patriot,FCS,25,0,0,0,0,17,25,0,0,0,0,0,0,0,0
151,Louisiana,Sun Belt,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Loyola Marymount,WCC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Miami (FL),ACC,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Missouri,SEC,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
