#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
1,Connor Johnston,URI,22,43.2,8.24,3.3,2.5,1.03,18.20%,7.30%,10.90%,0.32,1.79,0.383,46.90%,9.89,5.71,4.19
2,Kurt Thomas,SPU,23,61.1,5.58,7.19,0.78,0.73,11.00%,14.20%,-3.20%,0.369,2.49,0.414,48.40%,11.01,7.15,3.85
3,Jordan Giacomini,NEV,,39.1,8.92,6.18,1.44,0.69,18.50%,12.80%,5.70%,0.322,2.08,0.403,49.60%,10.75,7.05,3.7
4,Hayden Tarsia,BING,21,42,8.14,4.07,2,2.14,18.40%,9.20%,9.20%,0.306,1.79,0.341,40.00%,10.5,7.02,3.48
5,Deaton Oak,BELL,23,55.2,4.04,2.75,1.47,0.97,9.20%,6.30%,2.90%,0.353,1.89,0.376,48.70%,9.38,6.01,3.36
6,Lucas Valencia,MVSU,,39.2,7.94,6.58,1.21,0.91,16.40%,13.60%,2.80%,0.364,2.42,0.434,53.60%,10.44,7.12,3.32
7,Reagan Rivera,IU,23,43.1,10.8,5.19,2.08,1.66,23.70%,11.40%,12.30%,0.29,1.82,0.365,46.20%,9.35,6.09,3.26
8,Adan Perez,PAC,24,42,7.07,4.07,1.74,0,16.80%,9.60%,7.10%,0.297,1.67,0.367,52.60%,7.71,4.6,3.12
9,Alec Johnson,LMU,,52.2,8.89,3.08,2.89,0.68,19.90%,6.90%,13.00%,0.321,1.78,0.398,47.70%,7.86,4.76,3.1
10,JP Podgorski,VILL,,44.1,5.28,3.25,1.63,0.41,12.70%,7.80%,4.90%,0.283,1.51,0.322,45.70%,8.53,5.44,3.08
11,Eddie Del Valle,DSU,,42,11.57,8.14,1.42,1.5,20.90%,14.70%,6.20%,0.311,2.48,0.391,44.00%,11.36,8.32,3.04
12,William Tarpley,AAMU,23,44.1,7.71,5.68,1.36,1.02,15.00%,11.10%,4.00%,0.385,2.53,0.451,52.70%,10.35,7.42,2.93
13,Luke Corcoran,COPP,,45.1,3.18,4.96,0.64,0.79,6.40%,10.00%,-3.60%,0.397,2.47,0.417,44.10%,10.92,8,2.92
14,Isaiah Shayter,PSU,20,44.2,7.25,5.84,1.24,1.41,14.40%,11.60%,2.80%,0.321,2.19,0.36,58.40%,9.47,6.58,2.89
15,Jordan Bright,NCAT,19,42.2,8.86,6.33,1.4,1.27,18.90%,13.50%,5.40%,0.339,2.18,0.413,53.00%,9.49,6.76,2.73
16,Riley Peterson,MILW,21,56.2,10.16,3.34,3.05,0.32,24.20%,8.00%,16.30%,0.284,1.52,0.387,49.40%,7.78,5.07,2.71
17,Brayden Ryan,MD,,47.2,7.93,2.83,2.8,1.7,17.90%,6.40%,11.50%,0.325,1.76,0.373,51.00%,8.5,5.88,2.62
18,Brian Foley,UML,22,42.1,12.54,7.02,1.79,0.21,26.50%,14.80%,11.70%,0.306,2.08,0.45,65.20%,7.23,4.66,2.57
19,Kamden Hawks,MORE,,43.2,7.42,7.42,1,2.27,16.10%,16.10%,0.00%,0.271,1.92,0.285,43.30%,11.54,8.99,2.55
20,Quincy Thornton,SOU,23,42.2,9.7,8.65,1.12,0.84,18.50%,16.50%,2.00%,0.33,2.39,0.422,51.90%,11.39,8.86,2.53
21,Hudson Pergamit,MAN,,41.1,7.62,4.57,1.67,0.44,17.20%,10.30%,6.90%,0.278,1.65,0.341,53.00%,8.27,5.77,2.5
22,Caleb Anderson,LBSU,,53,10.7,3.23,3.32,0.34,25.90%,7.80%,18.10%,0.257,1.4,0.356,55.40%,6.28,3.82,2.47
23,Mason Gass,OHIO,,68.2,4.19,2.36,1.78,1.05,10.00%,5.60%,4.40%,0.339,1.72,0.361,49.70%,8.78,6.34,2.45
24,Trent Hillen,NWST,,59,9.15,2.44,3.75,0.46,23.30%,6.20%,17.10%,0.277,1.37,0.36,53.70%,6.41,3.96,2.44
25,Darin Kuskie,ODU,,58.1,9.57,3.39,2.82,1.08,22.50%,8.00%,14.50%,0.308,1.7,0.387,56.40%,7.25,4.83,2.42
26,Brady Kehlenbrink,MIZ,,70,11.83,2.7,4.38,1.54,30.20%,6.90%,23.30%,0.264,1.36,0.352,53.50%,6.69,4.27,2.41
27,Carter DeGondea,GASO,22,58,8.84,4.66,1.9,1.55,19.70%,10.40%,9.30%,0.329,1.95,0.395,57.50%,8.69,6.3,2.39
28,Kayden Sutton,ALCN,,55.1,5.04,7.32,0.69,0.65,9.90%,14.30%,-4.50%,0.327,2.3,0.361,40.20%,10.9,8.54,2.36
29,Tyler Hartley,MRST,21,56,5.95,4.82,1.23,0.16,13.30%,10.80%,2.50%,0.307,1.84,0.36,55.60%,7.71,5.35,2.36
30,Benjamin Hudson,PSU,20,64.1,6.85,3.08,2.23,1.12,16.30%,7.30%,9.00%,0.287,1.52,0.327,52.10%,7.83,5.53,2.31
31,Chase Snavely,DSU,,41.2,6.48,7.99,0.81,0.65,12.10%,14.90%,-2.80%,0.318,2.38,0.364,54.20%,11.02,8.75,2.27
32,Casan Evans,LSU,20,56,13.02,4.82,2.7,0.96,31.90%,11.80%,20.10%,0.229,1.43,0.336,58.00%,6.27,4.03,2.24
33,Tyler Sausville,SIE,,52,7.96,5.37,1.48,0.87,17.20%,11.60%,5.60%,0.309,1.98,0.368,49.50%,7.96,5.74,2.22
34,Cole Hansen,ELON,23,46,7.83,3.13,2.5,1.17,19.00%,7.60%,11.40%,0.289,1.54,0.34,51.10%,7.83,5.63,2.2
35,Brandt Corley,ULM,,58.2,9.36,4.76,1.97,0.92,20.80%,10.60%,10.20%,0.319,1.87,0.403,58.80%,7.82,5.67,2.16
36,Sam Kretsch,SMC,,49.2,11.05,3.81,2.9,0.91,26.50%,9.10%,17.40%,0.272,1.53,0.368,57.90%,7.07,4.93,2.14
37,Davis Kahn,HARV,,40.2,5.09,2.88,1.77,0.44,11.70%,6.60%,5.10%,0.324,1.75,0.364,56.80%,6.86,4.77,2.09
38,Jonah Johnson,LMU,,66,7.09,4.36,1.63,1.5,16.10%,9.90%,6.20%,0.35,1.97,0.401,54.10%,9,6.93,2.07
39,Hayden Capers,UIW,,38.2,5.12,6.05,0.85,1.86,11.40%,13.50%,-2.10%,0.329,2.07,0.343,55.70%,10.01,7.97,2.04
40,Wilson Perkins,DAV,,67.1,6.55,2.94,2.23,0.94,15.20%,6.80%,8.40%,0.348,1.86,0.4,59.60%,7.35,5.32,2.03
41,Lucas Alaniz,CSUN,,44,8.18,3.07,2.67,0.82,19.30%,7.20%,12.10%,0.291,1.55,0.355,53.90%,7.16,5.13,2.03
42,Nick Dugan,STAN,22,50,7.56,4.14,1.83,1.08,16.30%,8.90%,7.40%,0.291,1.8,0.335,56.60%,7.38,5.35,2.03
43,Colton Kennedy,UVU,,56,9.8,5.95,1.65,1.29,21.70%,13.20%,8.50%,0.283,1.86,0.351,45.10%,8.2,6.24,1.95
44,Trey Cehajic,TULN,,55.2,7.92,5.01,1.58,1.29,17.40%,11.00%,6.40%,0.314,1.9,0.368,61.80%,8.25,6.32,1.93
45,Joseph Taylor,CLT,21,53,9.51,5.26,1.81,0.34,22.60%,12.50%,10.10%,0.262,1.64,0.346,60.80%,6.11,4.19,1.92
46,Garrison Sumner,BYU,22,64.1,11.33,3.92,2.89,1.26,27.60%,9.50%,18.00%,0.281,1.57,0.376,61.40%,6.85,4.94,1.91
47,Ryan Weaver,NU,23,70.2,6.88,3.31,2.08,1.15,16.50%,7.90%,8.50%,0.299,1.6,0.342,56.60%,7.39,5.5,1.89
48,Brady Hamilton,WICH,20,68,8.47,3.57,2.37,0.4,19.70%,8.30%,11.40%,0.316,1.75,0.397,59.90%,5.96,4.08,1.87
49,David Thomas,SJSU,23,73.2,7.21,2.57,2.81,1.1,17.40%,6.20%,11.20%,0.323,1.67,0.375,51.10%,7.82,5.96,1.86
50,Sean Hamilton,HOF,22,41,6.8,5.49,1.24,0.44,14.70%,11.80%,2.80%,0.341,2.02,0.409,60.30%,8.34,6.49,1.85
51,Nate Isler,DART,21,65,11.08,3.46,3.2,0.14,27.50%,8.60%,18.90%,0.261,1.43,0.372,61.10%,4.98,3.14,1.85
52,Mason Glickman,UNH,,47.2,7.36,4.72,1.56,0.76,15.50%,9.90%,5.60%,0.363,2.14,0.432,51.20%,9.25,7.41,1.84
53,Gaines Estridge,AFA,21,61,5.9,2.36,2.5,1.18,13.90%,5.60%,8.40%,0.321,1.69,0.354,42.50%,7.97,6.17,1.79
54,Jayden Barroqueiro,HALL,22,46.2,7.33,3.28,2.24,0.77,17.40%,7.80%,9.60%,0.288,1.59,0.34,40.60%,6.94,5.18,1.76
55,Andrew Steinhaus,RAD,21,43.1,7.06,5.61,1.26,0.62,16.30%,13.00%,3.40%,0.285,1.8,0.338,52.80%,7.48,5.71,1.76
56,Regan Hall,ILL,21,73.1,8.47,2.09,4.06,0.74,20.70%,5.10%,15.60%,0.298,1.49,0.368,58.00%,5.77,4.01,1.76
57,Jake Moss,PENN,21,47.1,8.75,4.75,1.84,0.38,19.70%,10.70%,9.00%,0.286,1.77,0.361,54.10%,6.08,4.33,1.76
58,Gavin Sentell,NCAT,23,50.1,6.26,3.93,1.59,1.97,13.30%,8.30%,4.90%,0.332,1.97,0.355,43.80%,9.48,7.73,1.75
59,Ross Felder,MOST,,51.2,8.71,1.39,6.25,0.52,21.60%,3.50%,18.20%,0.314,1.49,0.395,60.70%,5.4,3.65,1.75
60,Reese Lueck,UNLV,21,46.2,7.91,4.63,1.71,0.96,17.30%,10.10%,7.20%,0.333,2.01,0.396,54.40%,8.1,6.36,1.74
61,Ruger Riojas,TEX,22,64.2,13.92,1.95,7.14,0.7,37.30%,5.20%,32.10%,0.231,1.11,0.363,67.60%,4.04,2.3,1.73
62,Folger Boaz,UNC,22,46.1,8.35,3.69,2.26,0.78,17.60%,7.80%,9.80%,0.273,1.71,0.324,64.20%,6.41,4.68,1.73
63,Simon Yochum,DAV,,46,10.17,2.35,4.33,0.59,23.60%,5.50%,18.20%,0.3,1.57,0.393,55.40%,5.87,4.16,1.71
64,Vincent Spizzoucco,PITT,23,46,7.04,3.72,1.89,1.57,16.70%,8.80%,7.90%,0.259,1.5,0.282,46.10%,7.63,5.93,1.71
65,David Leslie,PITT,23,55.2,9.7,4.04,2.4,1.46,22.50%,9.40%,13.10%,0.309,1.76,0.383,59.10%,7.11,5.41,1.7
66,Jack Pye,W&M,,43,7.12,6.49,1.1,1.67,15.20%,13.90%,1.30%,0.321,2.09,0.359,49.50%,9.63,7.93,1.7
67,Nick Balcom,QUIN,22,43.1,9.14,3.74,2.44,1.04,19.40%,7.90%,11.50%,0.284,1.73,0.342,60.50%,7.27,5.57,1.7
68,Aidan Weaver,DUKE,22,59.2,11.77,4.83,2.44,1.21,28.10%,11.50%,16.50%,0.263,1.59,0.357,63.50%,6.49,4.83,1.65
69,Tate Jones,NJIT,20,50.2,5.86,1.95,3,0.18,13.90%,4.60%,9.30%,0.309,1.54,0.361,52.60%,5.86,4.23,1.63
70,Max Stammel,UVA,20,51,9.88,4.24,2.33,1.24,22.90%,9.80%,13.10%,0.278,1.65,0.346,53.00%,6.71,5.09,1.62
71,Jack Turner,NMSU,22,58.1,9.41,5.09,1.85,0.46,21.70%,11.70%,10.00%,0.292,1.77,0.381,58.10%,6.48,4.88,1.6
72,Jace Terry,LAS,,50.1,6.26,5.72,1.09,1.07,14.30%,13.10%,1.20%,0.303,1.85,0.344,55.40%,8.58,6.99,1.6
73,Shane McAlinden,CSUB,,56.1,5.27,5.91,0.89,0.48,11.60%,13.00%,-1.40%,0.321,2.02,0.363,54.80%,7.51,5.93,1.58
74,Parker Dillhoff,UNLV,22,68.1,12.38,5.4,2.29,0.92,28.70%,12.50%,16.20%,0.276,1.73,0.393,53.80%,7.24,5.68,1.56
75,Bryson Goff,UNO,,53,8.15,4.92,1.66,1.53,18.60%,11.20%,7.40%,0.32,1.91,0.375,57.40%,7.98,6.43,1.55
76,Nate Bennett,NIA,,43.1,11.01,3.74,2.94,0.62,26.80%,9.10%,17.70%,0.284,1.57,0.392,60.50%,5.82,4.28,1.54
77,Brayden Marks,NDSU,22,40.2,3.98,4.2,0.95,0.44,8.90%,9.40%,-0.50%,0.343,1.97,0.373,56.50%,7.75,6.21,1.53
78,Dominic Voegele,KU,,78.1,11.49,3.79,3.03,1.38,28.30%,9.30%,19.00%,0.263,1.48,0.348,61.00%,6.43,4.91,1.52
79,Sergio Lopez,RGV,,60.2,10.53,2.82,3.74,1.04,25.90%,6.90%,19.00%,0.294,1.53,0.385,59.20%,5.93,4.41,1.52
80,Owen Kramkowski,ARIZ,20,72,9.38,1.88,5,1.25,22.30%,4.50%,17.80%,0.309,1.57,0.379,56.70%,6.13,4.61,1.51
81,Devin Kriley,ALCN,,47.1,9.51,8.56,1.11,0.57,18.70%,16.90%,1.90%,0.329,2.41,0.42,50.10%,9.13,7.62,1.5
82,Jason Buhl,WIU,23,63.1,6.39,3.27,1.96,1.28,15.10%,7.70%,7.40%,0.316,1.72,0.353,56.80%,7.39,5.91,1.48
83,Shane Sdao,TA&M,22,66,10.23,2.45,4.17,1.91,24.40%,5.90%,18.60%,0.301,1.56,0.368,65.30%,6.68,5.22,1.46
84,Abdriel Figueroa,USI,,46.1,6.41,5.44,1.18,0.39,13.90%,11.80%,2.10%,0.281,1.77,0.331,55.60%,7.77,6.32,1.45
85,Tristan Helmick,LAF,21,62.1,8.95,2.74,3.26,0.29,21.60%,6.60%,15.00%,0.289,1.48,0.376,59.50%,5.78,4.35,1.42
86,Trevor Hansen,UCI,21,78.1,11.03,3.22,3.43,0.34,27.50%,8.00%,19.50%,0.244,1.33,0.343,55.10%,4.94,3.53,1.42
87,Jordan Dahlof,OAK,,42.2,4.64,6.96,0.67,1.48,9.70%,14.60%,-4.90%,0.339,2.23,0.357,51.50%,10.55,9.14,1.41
88,Colter McAnelly,UTAH,,67.1,9.36,4.14,2.26,1.34,22.70%,10.10%,12.70%,0.259,1.51,0.314,54.90%,6.82,5.42,1.39
89,Hayden Lewis,WASH,22,62.2,7.61,3.45,2.21,0.86,18.70%,8.50%,10.20%,0.281,1.52,0.335,58.30%,6.18,4.79,1.39
90,Finbar OBrien,GONZ,21,47,10.34,6.13,1.69,0.96,24.10%,14.30%,9.80%,0.28,1.79,0.37,55.40%,7.28,5.89,1.38
91,Marcus Monroe,SPU,,49.1,4.74,7.84,0.6,1.09,10.30%,17.10%,-6.70%,0.338,2.27,0.366,58.00%,9.12,7.74,1.38
92,Connor Throneberry,MAN,23,42,7.71,6.86,1.13,1.07,17.60%,15.60%,2.00%,0.28,1.88,0.331,55.80%,8.14,6.78,1.37
93,Max Treonze,LEH,,39.1,7.55,4.12,1.83,0,18.10%,9.90%,8.20%,0.283,1.6,0.357,57.40%,5.72,4.37,1.35
94,Garrett Crum,UNCA,,47,6.51,6.13,1.06,1.15,13.20%,12.40%,0.80%,0.279,1.98,0.307,54.60%,8.43,7.08,1.35
95,Anthony Solis,EIU,,58.1,6.94,4.01,1.73,2.47,15.70%,9.10%,6.60%,0.327,1.89,0.347,56.80%,9.1,7.77,1.33
96,Cam Appenzeller,TENN,19,48.1,10.06,2.23,4.5,0.93,28.00%,6.20%,21.80%,0.233,1.12,0.306,60.40%,4.84,3.52,1.32
97,Jack Ohman,YALE,20,60,12,3.9,3.08,0.75,30.00%,9.70%,20.20%,0.239,1.37,0.342,63.40%,5.4,4.08,1.32
98,Zack Konstantinovsky,RUTG,21,65.1,10.61,2.76,3.85,1.24,26.90%,7.00%,19.90%,0.294,1.48,0.386,64.50%,5.65,4.34,1.31
99,Chase Carver,BELL,21,50,4.86,3.42,1.42,1.08,11.00%,7.70%,3.30%,0.326,1.84,0.351,48.50%,7.38,6.07,1.31
100,Cooper Smith,UNCA,,68.1,6.06,2.11,2.88,0.53,14.60%,5.10%,9.50%,0.256,1.33,0.292,48.10%,6.06,4.75,1.3
101,Nic Gregson,UCSD,,65,7.75,1.94,4,1.38,18.20%,4.60%,13.70%,0.333,1.68,0.388,59.20%,6.65,5.35,1.29
102,Lakin Polk,SELA,,46,5.48,3.13,1.75,0.59,13.30%,7.60%,5.70%,0.286,1.54,0.323,55.20%,6.26,4.97,1.29
103,Tyler Guerin,IOWA,20,49,7.35,6.24,1.18,0.37,16.40%,13.90%,2.50%,0.286,1.82,0.353,65.30%,7.16,5.88,1.28
104,Diego Alvarez,UNM,,48.1,5.21,2.79,1.87,1.49,11.80%,6.30%,5.50%,0.37,1.97,0.4,59.00%,8.57,7.29,1.28
105,Logan Pikur,MSU,21,48.1,6.52,2.61,2.5,0.93,15.40%,6.10%,9.20%,0.311,1.61,0.355,62.00%,6.33,5.06,1.27
106,Sam Novotny,SDST,22,59.2,6.94,3.77,1.84,1.21,16.40%,8.90%,7.50%,0.286,1.63,0.323,50.10%,7.54,6.28,1.27
107,Aden Knowles,TOW,20,61,7.97,4.28,1.86,1.62,18.80%,10.10%,8.70%,0.303,1.72,0.349,56.90%,7.97,6.71,1.25
108,James Pazdera,QUIN,22,41.2,11.02,5.83,1.89,0.65,22.80%,12.10%,10.70%,0.25,1.75,0.331,57.50%,6.91,5.67,1.24
109,Logan Wilson,NKU,,44,6.55,5.93,1.1,1.64,13.60%,12.30%,1.30%,0.35,2.25,0.388,58.00%,9.61,8.38,1.23
110,Beau Beaty,PV,22,72,4.38,3.63,1.21,0.63,10.30%,8.50%,1.80%,0.302,1.64,0.329,51.60%,8.38,7.15,1.23
111,Ethan Nardacci,ALB,,47.1,7.61,4.75,1.6,1.14,17.50%,10.90%,6.60%,0.294,1.77,0.342,50.90%,7.04,5.82,1.21
112,Russell Sandefer,FLA,21,46,9.78,3.13,3.13,0.39,22.90%,7.30%,15.60%,0.209,1.26,0.268,60.50%,4.3,3.1,1.2
113,Christian Charalambous,PRES,21,64,7.03,3.38,2.08,1.13,16.80%,8.10%,8.80%,0.303,1.63,0.35,58.00%,7.17,5.98,1.19
114,Diego Gutierrez,USD,,66.2,11.34,4.32,2.63,1.35,28.10%,10.70%,17.40%,0.27,1.55,0.361,61.30%,6.62,5.43,1.18
115,Joey Cirelli,BRAD,,49,5.51,4.78,1.15,2.57,11.60%,10.00%,1.50%,0.375,2.24,0.389,53.30%,10.29,9.11,1.18
116,Elliot Eaton,PRIN,21,48,6.94,4.31,1.61,0.94,15.90%,9.90%,6.00%,0.271,1.56,0.313,57.60%,7.5,6.32,1.18
117,Carter Fink,NIA,,54.2,7.24,3.95,1.83,1.32,16.10%,8.80%,7.30%,0.342,1.94,0.394,58.80%,7.57,6.4,1.17
118,Walker Fuller,NORF,22,51,5.65,4.76,1.19,1.24,12.40%,10.40%,1.90%,0.33,2,0.362,42.20%,9,7.85,1.15
119,Eric Rawlings,WIU,21,52.1,9.29,4.99,1.86,0.86,21.20%,11.40%,9.80%,0.3,1.8,0.38,64.60%,6.71,5.56,1.15
120,Brian Crooms,GAST,24,50.2,4.8,4.97,0.96,0.71,10.80%,11.20%,-0.40%,0.294,1.74,0.324,60.20%,7.99,6.86,1.14
121,Jake Rifenburg,NU,19,51.1,6.84,3.51,1.95,0.88,15.80%,8.10%,7.70%,0.306,1.68,0.355,63.30%,6.49,5.36,1.13
122,Justus Agosto,UNA,23,49.2,8.52,4.71,1.81,0.54,21.10%,11.70%,9.40%,0.254,1.49,0.324,60.40%,6.34,5.22,1.13
123,Colin Fitzgerald,PSU,23,56.2,10.64,4.92,2.16,1.43,23.50%,10.90%,12.60%,0.317,1.94,0.405,59.60%,6.51,5.41,1.11
124,Will Turner,UTM,,45.2,7.49,3.35,2.24,1.58,18.30%,8.20%,10.10%,0.293,1.55,0.333,56.90%,7.49,6.39,1.1
125,Caden Crowell,ND,20,49.2,9.97,4.17,2.39,1.63,22.40%,9.30%,13.00%,0.302,1.77,0.371,69.50%,6.89,5.81,1.08
126,Luke Howe,LBSU,,85.2,7.04,2.21,3.19,0.32,17.60%,5.50%,12.10%,0.281,1.4,0.34,62.20%,5.04,3.97,1.07
127,Jeremy Vest,DSU,,54.2,6.09,6.09,1,0.49,11.60%,11.60%,0.00%,0.28,2.07,0.316,48.00%,8.56,7.49,1.07
128,Adam Behrens,LMU,,68,5.96,1.99,3,1.72,14.20%,4.70%,9.40%,0.313,1.57,0.335,55.20%,7.68,6.6,1.07
129,Tyson Potts,CMU,22,54,6.83,4,1.71,0.17,14.50%,8.50%,6.00%,0.283,1.74,0.337,59.80%,6.33,5.28,1.05
130,Carter Casabella,TNTC,,68,6.09,3.04,2,0.66,14.50%,7.30%,7.30%,0.297,1.59,0.34,49.50%,6.22,5.17,1.05
131,Mark Rogers,CAN,,39.1,7.32,4.35,1.68,1.6,16.60%,9.80%,6.70%,0.329,1.91,0.374,60.70%,7.78,6.74,1.04
132,Andy Leon,DUKE,,49.2,7.61,4.17,1.83,1.09,18.80%,10.30%,8.50%,0.236,1.37,0.273,57.50%,6.7,5.67,1.04
133,Ross Norman,CCU,21,70.2,7.26,1.91,3.8,1.02,18.10%,4.80%,13.30%,0.291,1.42,0.339,62.00%,5.99,4.95,1.04
134,Tyler Murphy,FAU,22,49.1,7.3,6.02,1.21,0.36,16.30%,13.50%,2.90%,0.254,1.68,0.31,55.70%,6.75,5.71,1.04
135,Trajan Lee,GTWN,,53.1,8.94,5.06,1.77,0.84,20.50%,11.60%,8.90%,0.257,1.58,0.322,52.10%,7.43,6.39,1.03
136,Brady Pendley,GASO,22,61.2,9.05,3.5,2.58,0.73,21.20%,8.20%,13.00%,0.303,1.67,0.381,64.10%,5.69,4.67,1.03
137,Ben Smith,HCU,22,61.1,7.92,3.38,2.35,1.32,19.40%,8.20%,11.10%,0.296,1.6,0.347,57.70%,6.6,5.58,1.02
138,Zach Kilby,FAU,22,47.2,9.25,1.13,8.17,0.57,24.30%,3.00%,21.30%,0.272,1.22,0.353,61.20%,4.34,3.35,1
139,Jake Geis,LMU,23,46.2,8.49,3.86,2.2,1.54,18.30%,8.30%,10.00%,0.287,1.71,0.331,51.40%,7.71,6.72,0.99
140,Drew Munn,CLT,22,44.2,6.04,4.23,1.43,1.41,14.90%,10.40%,4.50%,0.29,1.61,0.317,55.90%,7.25,6.26,0.99
141,Logan Hastings,MD,,56,9.48,4.5,2.11,0.48,21.10%,10.00%,11.10%,0.204,1.38,0.258,56.10%,5.46,4.48,0.98
142,Carson Johnson,SDSU,21,43.1,9.55,3.32,2.88,0.21,22.20%,7.70%,14.50%,0.247,1.43,0.324,54.90%,5.61,4.62,0.98
143,JT Raab,GTWN,22,45.2,13.01,2.76,4.71,2.36,31.40%,6.70%,24.80%,0.308,1.62,0.41,61.90%,6.9,5.92,0.98
144,Davis Webb,BRAD,21,52.2,11.45,7.52,1.52,0.51,25.70%,16.90%,8.80%,0.245,1.8,0.348,55.10%,6.66,5.69,0.98
145,Noah Chapman,UNCG,,76,9.36,3.91,2.39,1.18,22.40%,9.40%,13.10%,0.279,1.55,0.347,64.40%,6.28,5.33,0.95
146,Paul Schmitz,HOU,22,61.1,8.07,4.4,1.83,1.03,19.70%,10.80%,9.00%,0.276,1.58,0.331,60.10%,6.46,5.51,0.95
147,Carson Lane,UNLV,21,59.2,9.8,5.43,1.81,1.06,22.20%,12.30%,9.90%,0.315,1.93,0.402,60.30%,7.39,6.45,0.94
148,Jose Cherena,ALCN,,50.2,5.51,8.35,0.66,1.24,10.80%,16.40%,-5.60%,0.348,2.49,0.381,49.90%,10.3,9.37,0.94
149,Gavin Moczydlowsky,CMU,21,44.2,7.66,5.04,1.52,1.61,15.10%,10.00%,5.20%,0.278,1.95,0.305,50.80%,8.06,7.13,0.93
150,Mason Brassfield,TCU,20,45.1,12.31,4.76,2.58,1.19,27.00%,10.40%,16.50%,0.275,1.74,0.371,65.30%,5.96,5.03,0.93
151,Andrew Townson,FRES,23,57,7.42,4.74,1.57,2.37,15.70%,10.00%,5.70%,0.336,2.07,0.365,51.90%,9.63,8.71,0.92
152,Jeb Johnson,MER,,46.2,7.52,3.86,1.95,0.58,17.50%,9.00%,8.50%,0.28,1.63,0.335,58.80%,5.4,4.48,0.92
153,Grayson Bradberry,BUT,,57.2,9.05,4.37,2.07,0.62,21.20%,10.20%,10.90%,0.259,1.53,0.329,58.10%,6.4,5.48,0.92
154,Joseph Duffield,MAN,21,49.2,5.07,5.44,0.93,0.18,11.40%,12.20%,-0.80%,0.274,1.71,0.314,56.80%,7.07,6.15,0.92
155,Joseph LoPinto,CAN,21,68.2,6.95,4.46,1.56,0.79,16.10%,10.30%,5.80%,0.286,1.69,0.333,60.00%,6.68,5.77,0.91
156,Alex Miller,MORE,22,44,8.39,6.34,1.32,2.05,19.10%,14.40%,4.70%,0.339,2.09,0.395,63.40%,8.59,7.68,0.91
157,Jayden Harper,CSUF,22,43.2,9.89,4.53,2.18,1.03,23.60%,10.80%,12.80%,0.292,1.69,0.376,68.60%,5.98,5.07,0.91
158,Drew Turner,UNCA,,79,9.46,4.33,2.18,0.8,22.90%,10.50%,12.40%,0.271,1.56,0.348,56.00%,6.15,5.25,0.9
159,Alex Hwang,YALE,20,37.2,7.88,5.73,1.38,0.24,18.60%,13.60%,5.10%,0.245,1.57,0.312,60.70%,6.21,5.31,0.9
160,Brady Bickett,CHSO,,42,6.21,5.79,1.07,0.43,14.40%,13.40%,1.00%,0.273,1.71,0.321,53.70%,7.07,6.18,0.89
161,Lucas Davenport,BAY,22,61,10.03,2.07,4.86,1.33,25.60%,5.30%,20.30%,0.28,1.36,0.355,65.40%,5.61,4.73,0.88
162,Tommy Egan,TROY,23,71.1,10.85,2.9,3.74,0.63,27.00%,7.20%,19.70%,0.262,1.36,0.361,62.50%,5.05,4.17,0.88
163,Adam Christopher,CSUN,24,42.1,7.02,2.13,3.3,0.85,14.30%,4.30%,10.00%,0.237,1.42,0.264,59.90%,5.95,5.08,0.88
164,Gunnar Brown,UTSA,23,51.2,6.97,4.01,1.74,0.87,15.80%,9.10%,6.70%,0.302,1.76,0.35,58.40%,6.1,5.23,0.87
165,Jake Francis,VILL,,53.2,5.7,2.18,2.62,1.17,13.10%,5.00%,8.10%,0.326,1.66,0.359,59.00%,7.21,6.34,0.87
166,Nate Harris,UK,,42.1,8.29,4.68,1.77,0.64,20.70%,11.70%,9.00%,0.231,1.39,0.288,62.50%,5.53,4.66,0.86
167,Aidan Knaak,CLEM,21,57.1,13.81,3.61,3.83,1.73,31.90%,8.30%,23.60%,0.292,1.64,0.417,65.50%,5.81,4.95,0.86
168,James Guyette,KSU,21,73.2,12.1,4.15,2.91,0.86,28.00%,9.60%,18.40%,0.263,1.53,0.371,61.40%,5.62,4.76,0.86
169,Sam Hliboki,NU,24,47.2,6.99,2.64,2.64,2.64,15.20%,5.70%,9.40%,0.284,1.62,0.287,58.10%,8.31,7.45,0.86
170,Jackson Garland,LONG,,50.2,9.59,4.44,2.16,0.36,24.20%,11.20%,13.00%,0.232,1.38,0.312,57.60%,5.33,4.47,0.86
171,Ethan Lund,OKST,20,71,15.08,5.7,2.64,1.27,37.90%,14.30%,23.60%,0.216,1.45,0.345,67.80%,5.32,4.48,0.84
172,Michael Lane,DSU,,67.1,10.69,4.01,2.67,0.94,22.90%,8.60%,14.30%,0.268,1.69,0.339,50.40%,6.82,5.97,0.84
173,Griffin Stieg,VT,22,59.1,6.98,3.94,1.77,1.37,15.80%,8.90%,6.80%,0.292,1.72,0.327,66.00%,6.67,5.83,0.84
174,Max Tripure,WIU,,75,7.2,3.84,1.88,0.72,17.70%,9.40%,8.30%,0.272,1.52,0.323,60.00%,6,5.16,0.84
175,John Paone,UVA,,53,10.36,3.57,2.9,1.02,25.20%,8.70%,16.50%,0.248,1.38,0.322,58.20%,5.6,4.78,0.83
