year,decade,team,conf,record,SP+,rank,Off. SP+,rank,Def. SP+,rank,ST SP+,rank,pctile,off_pctile,def_pctile,10yr_avg,5yr_avg
2008,2000s,Alabama,SEC,2-Dec,23.1,7,31.1,28,7.6,2,-0.3,68,94.00%,73.60%,97.20%,82.40%,84.00%
2009,2000s,Alabama,SEC,14-0,33.8,1,37.8,4,5.7,1,1.7,11,98.60%,94.50%,98.10%,83.20%,87.70%
2010,2010s,Alabama,SEC,3-Oct,31,1,39.6,10,8.9,1,0.4,53,97.20%,91.80%,97.90%,86.60%,89.80%
2011,2010s,Alabama,SEC,1-Dec,34.2,1,35.8,20,1.2,1,-0.5,77,98.90%,83.90%,99.80%,88.30%,94.20%
2012,2010s,Alabama,SEC,13-1,39.4,1,44.1,8,6.2,2,1.5,17,99.50%,96.00%,99.20%,89.10%,97.70%
2013,2010s,Alabama,SEC,2-Nov,34.6,2,44.3,6,10.5,2,0.8,37,97.50%,95.00%,96.80%,91.20%,98.30%
2014,2010s,Alabama,SEC,2-Dec,30.5,1,39.9,16,10,1,0.5,45,97.40%,90.00%,98.10%,92.90%,98.10%
2015,2010s,Alabama,SEC,14-1,30.8,1,38.5,18,8.1,1,0.4,48,98.00%,87.70%,98.20%,94.00%,98.30%
2016,2010s,Alabama,SEC,14-1,33,1,43.4,6,10.8,1,0.4,48,98.90%,95.90%,98.30%,96.30%,98.30%
2017,2010s,Alabama,SEC,13-1,31.9,1,40,9,8.5,2,0.4,52,98.40%,93.60%,98.20%,97.80%,98.00%
2018,2010s,Alabama,SEC,14-1,33.7,1,45.7,2,11.5,4,-0.4,85,99.00%,98.60%,96.80%,98.30%,98.30%
2019,2010s,Alabama,SEC,2-Nov,34.6,2,48.7,1,13.4,10,-0.7,89,98.60%,99.50%,93.90%,98.30%,98.60%
2020,2020s,Alabama,SEC,13-0,35,1,54,1,19.8,15,0.9,13,99.70%,99.90%,90.00%,98.60%,98.90%
2021,2020s,Alabama,SEC,13-2,29.6,2,42.8,2,13.9,9,0.7,44,98.10%,98.70%,93.20%,98.50%,98.70%
2022,2020s,Alabama,SEC,2-Nov,32.3,3,45.4,2,14.7,9,1.6,10,98.90%,97.80%,94.80%,98.40%,98.80%
1942,1940s,Alameda Coast Guard,Indies,0-4,-17.7,123,8,102,25.7,129,,,6.30%,21.60%,2.30%,,
1943,1940s,Alameda Coast Guard,Indies,4.5-2.5,1.1,41,15.3,42,14.3,38,,,53.30%,45.50%,61.60%,,
1944,1940s,Alameda Coast Guard,Indies,3-May,5.9,40,18.7,39,12.8,40,,,64.80%,61.80%,66.30%,,
1913,1910s,Albright,Indies,0-4,-28.1,78,2.3,71,30.4,79,,,2.10%,7.90%,0.90%,,
1915,1910s,Albright,Indies,0-4,-28.6,91,3.1,83,31.8,93,,,3.50%,12.20%,1.30%,,
1916,1910s,Albright,Indies,0-4,-45.3,102,-1.5,97,43.8,102,,,0.50%,5.50%,0.10%,,
1977,1970s,Alcorn State,Indies,8-Mar,-9.5,116,15.2,117,24.7,111,,,21.80%,22.60%,29.40%,,
1944,1940s,Amarillo Field,Indies,3-May,8.1,35,23.5,21,15.3,55,,,70.10%,79.90%,53.70%,,
1886,1880s,Amherst,Indies,4-Mar,-14.5,9,4,11,18.5,8,,,31.90%,20.80%,50.60%,,
1887,1880s,Amherst,Indies,6-Apr,-25.7,13,7.8,13,33.5,13,,,19.10%,20.00%,20.70%,,
1888,1880s,Amherst,Indies,2.5-8.5,-31.5,18,5.3,17,36.8,17,,,11.40%,17.20%,8.60%,,
1889,1880s,Amherst,Indies,6-Apr,-20.3,17,5.6,16,25.9,17,,,19.80%,24.80%,16.40%,,
1890,1890s,Amherst,Indies,6.5-5.5,-5.5,11,9.2,13,14.6,10,,,39.20%,33.40%,49.80%,,24.30%
1891,1890s,Amherst,Indies,9.5-5.5,6.5,8,18.7,8,12.3,8,,,64.20%,62.20%,65.60%,,30.70%
1892,1890s,Amherst,Indies,5-Sep,8.7,8,18.6,9,9.9,8,,,72.20%,73.80%,67.90%,,41.40%
1893,1890s,Amherst,Indies,7.5-6.5,-2.8,19,15.3,16,18,23,,,42.70%,49.60%,34.90%,,47.60%
1894,1890s,Amherst,Indies,7.5-5.5,-5.7,19,3.7,24,9.4,14,,,34.10%,15.80%,61.70%,,50.50%
1895,1890s,Amherst,Indies,5-Jun,-6.8,23,9.7,17,16.5,26,,,29.40%,44.40%,16.70%,36.40%,48.50%
1896,1890s,Amherst,Indies,3.5-6.5,-13.3,27,2.2,29,15.5,27,,,12.70%,9.40%,19.50%,34.50%,38.20%
1897,1890s,Amherst,Indies,7-Mar,-21,28,0.4,29,21.4,29,,,6.20%,6.40%,8.40%,33.20%,25.00%
1898,1890s,Amherst,Indies,4.5-5.5,-15.6,32,4.5,25,20.1,33,,,12.40%,17.80%,9.10%,33.30%,19.00%
1899,1890s,Amherst,Indies,4.5-7.5,-15.7,41,1,43,16.8,39,,,8.40%,9.20%,9.50%,32.20%,13.90%
1900,1900s,Amherst,Indies,4.5-7.5,-9.8,36,2.6,34,12.3,35,,,19.80%,19.10%,24.00%,30.20%,11.90%
1901,1900s,Amherst,Indies,7-May,-7.9,36,4.1,45,12,31,,,26.30%,18.00%,40.50%,26.40%,14.60%
1902,1900s,Amherst,Indies,3-Jul,3.9,30,13.4,30,9.5,36,,,62.60%,63.50%,58.40%,25.50%,25.90%
1903,1900s,Amherst,Indies,3-Jul,-2.5,43,6.3,55,8.8,21,,,42.60%,28.50%,74.40%,25.50%,32.00%
1904,1900s,Amherst,Indies,1-Sep,9.8,25,14.2,32,4.4,14,,,70.90%,59.20%,82.40%,29.10%,44.40%
1905,1900s,Amherst,Indies,2-Apr,6.7,30,11.7,43,5,18,,,65.60%,48.60%,82.00%,32.80%,53.60%
1906,1900s,Amherst,Indies,3.5-3.5,-5.8,45,1.1,54,6.8,32,,,31.40%,20.90%,55.40%,34.60%,54.60%
1891,1890s,Andover,Indies,3-Jan,-9.9,21,14.6,16,24.4,27,,,28.90%,45.30%,15.40%,,
1972,1970s,Appalachian State,Southern,5.5-5.5,-8,98,16.9,88,24.9,95,,,25.60%,29.90%,29.40%,,
1973,1970s,Appalachian State,Southern,3.5-7.5,-10.4,108,14.7,107,25.1,96,,,21.40%,21.60%,30.40%,,
1974,1970s,Appalachian State,Southern,5-Jun,-5.6,88,14,106,19.6,70,,,32.40%,21.60%,50.10%,,
1975,1970s,Appalachian State,Southern,3-Aug,2.6,57,23.5,43,20.9,78,,,58.50%,70.40%,44.70%,,
1976,1970s,Appalachian State,Southern,6.5-4.5,3.5,54,19.9,65,16.3,47,,,62.30%,50.70%,69.80%,,40.10%
1977,1970s,Appalachian State,Southern,9-Feb,-17.8,139,15.5,113,33.3,145,,,7.40%,24.10%,4.50%,,36.40%
1978,1970s,Appalachian State,Southern,4-Jul,-0.1,73,27.9,18,28,126,,,49.70%,86.80%,11.20%,,42.10%
1979,1970s,Appalachian State,Southern,8-Mar,-5.7,103,23.5,40,29.2,134,,,30.10%,72.30%,7.60%,,41.60%
1980,1980s,Appalachian State,Southern,6.5-4.5,1.5,60,21.2,67,19.7,63,,,54.80%,51.00%,57.20%,,40.90%
1981,1980s,Appalachian State,Southern,3.5-7.5,-6.6,95,13.9,111,20.5,73,,,28.60%,19.30%,46.90%,37.10%,34.10%
2014,2010s,Appalachian State,Sun Belt,5-Jul,-8.6,89,28.4,67,34.5,96,-2.5,123,29.10%,50.60%,23.90%,,
2015,2010s,Appalachian State,Sun Belt,2-Nov,2.8,59,32.9,40,29.9,69,-0.2,75,57.40%,70.20%,42.80%,,
2016,2010s,Appalachian State,Sun Belt,3-Oct,3.6,55,25,83,21.2,27,-0.2,75,60.00%,30.60%,82.20%,,
2017,2010s,Appalachian State,Sun Belt,4-Sep,0.7,63,29.1,55,27.5,62,-0.9,99,51.80%,57.80%,49.70%,,
2018,2010s,Appalachian State,Sun Belt,2-Nov,12.1,30,30.7,49,19.6,23,1,34,79.90%,63.50%,82.90%,,55.60%
2019,2010s,Appalachian State,Sun Belt,13-1,11.6,27,36.6,16,25.2,52,0.2,56,76.90%,86.40%,60.30%,,65.20%
2020,2020s,Appalachian State,Sun Belt,3-Sep,13.6,16,31.1,50,18.2,9,0.7,16,85.50%,60.90%,93.30%,,70.80%
2021,2020s,Appalachian State,Sun Belt,4-Oct,9.1,38,33.1,29,25.7,60,1.8,13,73.90%,80.90%,54.90%,,73.60%
2022,2020s,Appalachian State,Sun Belt,6-Jun,1.7,64,30.8,44,27.7,73,-1.4,117,54.80%,66.90%,44.90%,,74.20%
1931,1930s,Arizona,BIAA,3.5-5.5,-15.7,112,4.4,105,20.1,112,,,9.40%,16.60%,7.80%,,
1932,1930s,Arizona,BIAA,5-Apr,-14.2,118,5,103,19.2,122,,,10.60%,21.90%,6.40%,,
1933,1930s,Arizona,BIAA,3-May,-1,77,8.4,74,9.4,69,,,46.10%,42.00%,50.30%,,
1934,1930s,Arizona,BIAA,7.5-2.5,4.2,53,10.2,66,6.1,35,,,65.60%,47.00%,78.80%,,
1935,1930s,Arizona,BIAA,2-Jul,8.8,28,15.1,37,6.2,30,,,79.40%,76.20%,77.90%,,42.20%
1936,1930s,Arizona,BIAA,6.5-3.5,9.2,26,16.6,23,7.4,38,,,81.50%,83.80%,73.50%,,56.60%
1937,1930s,Arizona,BIAA,2-Aug,9.7,29,18.8,11,9.1,64,,,81.50%,93.50%,55.30%,,70.80%
1938,1930s,Arizona,BIAA,6-Mar,-7.6,101,9.3,84,17,110,,,22.00%,36.20%,15.80%,,66.00%
1939,1930s,Arizona,BIAA,4-Jun,-6.3,99,8.3,89,14.6,103,,,24.90%,30.00%,25.80%,,57.90%
1940,1940s,Arizona,BIAA,2-Jul,5.6,33,20.1,15,14.5,78,,,71.20%,88.60%,42.10%,49.20%,56.20%
1941,1940s,Arizona,BIAA,3-Jul,5.8,41,22.4,14,16.6,87,,,68.60%,92.50%,30.30%,55.10%,53.60%
1942,1940s,Arizona,BIAA,4-Jun,3,57,19.6,24,16.6,95,,,60.30%,82.00%,30.00%,60.10%,49.40%
1946,1940s,Arizona,BIAA,5-May,-3.7,74,15.2,62,18.9,85,,,37.60%,47.40%,30.80%,,
1947,1940s,Arizona,BIAA,5.5-4.5,-2.2,74,22.8,18,25,113,,,43.10%,86.30%,9.40%,,
1948,1940s,Arizona,BIAA,5-Jun,-7.5,87,17.9,52,25.4,109,,,27.40%,51.90%,13.60%,,
1949,1940s,Arizona,BIAA,2.5-7.5,-22,123,10.3,117,32.3,121,,,4.20%,9.10%,4.00%,,
1950,1950s,Arizona,BIAA,6-Apr,-11.9,107,21.7,39,33.6,123,,,17.60%,68.40%,3.40%,,26.00%
1951,1950s,Arizona,BIAA,5-Jun,-11.5,100,17.1,71,28.7,112,,,17.00%,38.80%,9.00%,,21.90%
1952,1950s,Arizona,BIAA,4-Jun,0.2,58,21.5,36,21.3,83,,,50.70%,70.80%,30.50%,,23.40%
1953,1950s,Arizona,BIAA,4.5-5.5,2.1,51,24.6,11,22.5,94,,,57.30%,90.30%,20.00%,,29.40%
1954,1950s,Arizona,BIAA,3-Jul,10.3,28,35.5,2,25.2,99,,,79.80%,99.50%,15.10%,,44.50%
1955,1950s,Arizona,BIAA,5.5-4.5,3.4,47,22,16,18.6,76,,,61.60%,86.10%,30.50%,39.60%,53.30%
1956,1950s,Arizona,BIAA,6-Apr,-2,64,17.9,45,19.9,79,,,43.00%,59.50%,31.70%,40.20%,58.50%
1957,1950s,Arizona,BIAA,1.5-8.5,-17.2,113,14.9,54,32,118,,,5.10%,47.70%,0.50%,36.40%,49.40%
1958,1950s,Arizona,BIAA,7-Mar,-25.3,115,5.1,115,30.4,112,,,1.20%,2.80%,2.10%,33.80%,38.10%
1959,1950s,Arizona,BIAA,6-Apr,-16,111,9.1,107,25.1,109,,,7.60%,13.80%,9.30%,34.10%,23.70%
1960,1960s,Arizona,BIAA,3-Jul,1.2,59,20.6,21,19.4,84,,,54.10%,81.90%,29.60%,37.70%,22.20%
1961,1960s,Arizona,Indies,8.5-1.5,9.6,25,25.8,14,16.2,65,,,79.50%,92.60%,49.00%,44.00%,29.50%
1962,1960s,Arizona,WAC,5-May,-1.5,62,15.1,73,16.6,61,,,44.50%,41.30%,49.10%,43.40%,37.40%
1963,1960s,Arizona,WAC,5-May,-3.7,78,12.6,90,16.4,64,,,35.30%,28.40%,45.00%,41.20%,44.20%
1964,1960s,Arizona,WAC,6.5-3.5,3.4,48,13,81,9.7,24,,,64.10%,35.80%,82.80%,39.60%,55.50%
1965,1960s,Arizona,WAC,7-Mar,-12.8,113,5.7,121,18.5,80,,,8.80%,3.00%,37.50%,34.30%,46.40%
1966,1960s,Arizona,WAC,7-Mar,-11.3,100,17.3,53,28.6,111,,,14.40%,50.70%,4.40%,31.50%,33.40%
1967,1960s,Arizona,WAC,3.5-6.5,-9.9,100,19.4,52,29.3,119,,,16.30%,57.10%,3.30%,32.60%,27.80%
1968,1960s,Arizona,WAC,3-Aug,-0.7,67,14.9,107,15.7,20,,,47.50%,16.10%,83.30%,37.20%,30.20%
1969,1960s,Arizona,WAC,7-Mar,-6.7,86,19.6,68,26.3,95,,,31.00%,39.20%,27.70%,39.60%,23.60%
1970,1970s,Arizona,WAC,6-Apr,-5.4,85,17.4,86,22.8,82,,,34.30%,32.70%,39.40%,37.60%,28.70%
1971,1970s,Arizona,WAC,6-May,-4.5,82,20,63,24.5,99,,,36.10%,48.80%,25.80%,33.20%,33.10%
1972,1970s,Arizona,WAC,7-Apr,-11.9,112,21.6,55,33.5,123,,,16.50%,56.00%,5.20%,30.40%,33.10%
1973,1970s,Arizona,WAC,3-Aug,7.7,36,32.6,13,24.9,92,,,72.10%,92.10%,31.50%,34.10%,38.00%
1974,1970s,Arizona,WAC,2-Sep,5.2,46,21.5,57,16.3,42,,,66.40%,60.40%,69.10%,34.30%,45.10%
1975,1970s,Arizona,WAC,2-Sep,16,15,31.5,9,15.5,40,,,90.60%,95.80%,72.40%,42.50%,56.30%
1976,1970s,Arizona,WAC,6-May,-1.1,79,25.9,27,27,130,,,46.30%,81.30%,13.60%,45.70%,58.40%
1977,1970s,Arizona,WAC,7-May,-4.3,101,23.2,51,27.6,129,,,36.20%,63.80%,17.80%,47.70%,62.30%
1978,1970s,Arizona,Pac-10,6-May,6.6,39,23.8,41,17.2,44,,,72.10%,69.60%,69.20%,50.20%,62.30%
1979,1970s,Arizona,Pac-10,6.5-5.5,4.7,46,23.4,41,18.7,63,,,66.70%,71.80%,55.30%,53.70%,62.40%
1980,1980s,Arizona,Pac-10,6-May,-3.5,86,19.1,83,22.6,83,,,38.90%,39.30%,41.40%,54.20%,52.00%
1981,1980s,Arizona,Pac-10,5-Jun,2.9,54,20.6,61,17.7,54,,,59.90%,53.40%,63.40%,56.60%,54.80%
1982,1980s,Arizona,Pac-10,6.5-4.5,11.1,27,27.7,31,16.6,32,,,81.20%,78.40%,76.00%,63.00%,63.80%
1983,1980s,Arizona,Pac-10,7.5-3.5,13.9,22,29.3,18,15.4,22,,,87.70%,83.70%,81.10%,64.60%,66.90%
1984,1980s,Arizona,Pac-10,4-Jul,11.3,19,29.4,25,18.1,29,,,85.20%,81.80%,78.60%,66.50%,70.60%
1985,1980s,Arizona,Pac-10,8.5-3.5,12.9,22,20.9,60,8,5,,,85.50%,45.10%,95.60%,66.00%,79.90%
1986,1980s,Arizona,Pac-10,3-Sep,22.1,7,34.2,7,12.1,11,,,94.90%,95.30%,91.10%,70.80%,86.90%
1987,1980s,Arizona,Pac-10,5.5-5.5,9.1,30,26.5,34,17.3,31,,,74.20%,67.70%,75.00%,74.60%,85.50%
1988,1980s,Arizona,Pac-10,4-Jul,11.4,24,26.3,34,14.8,21,,,78.60%,63.20%,83.10%,75.30%,83.70%
1989,1980s,Arizona,Pac-10,4-Aug,11.1,26,21.4,69,10.3,6,,,78.00%,36.50%,94.20%,76.40%,82.20%
1990,1990s,Arizona,Pac-10,5-Jul,1.6,48,23.4,55,21.8,43,,,54.70%,45.80%,61.10%,78.00%,76.10%
1991,1990s,Arizona,Pac-10,7-Apr,-1.1,59,25.9,36,27.1,75,,,46.90%,66.90%,30.00%,76.70%,66.50%
1992,1990s,Arizona,Pac-10,6.5-5.5,13.6,16,18.4,79,4.8,2,,,86.00%,28.00%,98.70%,77.20%,68.80%
1993,1990s,Arizona,Pac-10,2-Oct,19.2,11,27.5,39,8.3,1,,,91.50%,64.00%,97.30%,77.50%,71.40%
1994,1990s,Arizona,Pac-10,4-Aug,12.6,18,23.4,56,10.7,6,,,81.70%,47.00%,96.10%,77.20%,72.20%
1995,1990s,Arizona,Pac-10,5-Jun,3.1,46,17.3,90,14.2,10,,,58.70%,18.60%,89.10%,74.50%,73.00%
1996,1990s,Arizona,Pac-10,6-May,8.3,32,29.8,36,21.5,44,,,71.00%,69.60%,66.50%,72.10%,77.80%
1997,1990s,Arizona,Pac-10,5-Jul,13,22,32.2,24,19.2,31,,,80.60%,80.20%,74.70%,72.80%,76.70%
1998,1990s,Arizona,Pac-10,1-Dec,20.8,9,37.8,8,17,22,,,92.40%,93.50%,82.30%,74.10%,76.90%
1999,1990s,Arizona,Pac-10,6-Jun,6,41,32,23,26,65,,,66.70%,82.20%,45.40%,73.00%,73.90%
2000,2000s,Arizona,Pac-10,6-May,4,49,24.3,67,20.3,37,,,60.60%,43.90%,75.20%,73.60%,74.30%
2001,2000s,Arizona,Pac-10,6-May,1,59,32.9,27,31.9,82,,,52.80%,79.60%,28.60%,74.20%,70.60%
2002,2000s,Arizona,Pac-10,8-Apr,-2.8,68,22,81,24.8,52,,,42.50%,28.70%,56.80%,69.90%,63.00%
2003,2000s,Arizona,Pac-10,10-Feb,-16,100,16.5,101,32.5,81,,,14.20%,12.30%,24.40%,62.10%,47.40%
2004,2000s,Arizona,Pac-10,8-Mar,-7.1,83,14.8,114,21.9,46,,,30.60%,6.10%,65.70%,57.00%,40.20%
2005,2000s,Arizona,Pac-10,8-Mar,-2.5,67,26.3,61,28.7,69,,,43.40%,50.50%,37.60%,55.50%,36.70%
2006,2000s,Arizona,Pac-10,6-Jun,1.5,57,13.5,103,13.5,21,1.5,15,53.70%,14.30%,86.00%,53.80%,36.90%
2007,2000s,Arizona,Pac-10,7-May,9.5,43,30.3,53,22.8,42,1.9,5,72.10%,55.50%,73.70%,52.90%,42.80%
2008,2000s,Arizona,Pac-10,5-Aug,18,15,36,16,19.9,39,1.9,13,88.70%,87.80%,71.90%,52.50%,57.70%
2009,2000s,Arizona,Pac-10,5-Aug,8.1,42,30.2,38,21.5,44,-0.6,81,70.10%,71.40%,67.90%,52.90%,65.60%
2010,2010s,Arizona,Pac-10,6-Jul,12.1,28,31.9,41,19.6,30,-0.3,74,77.30%,69.90%,80.60%,54.60%,72.40%
2011,2010s,Arizona,Pac-12,8-Apr,-4.2,72,33.3,25,35.7,99,-1.9,111,38.90%,76.30%,15.90%,53.20%,69.40%
2012,2010s,Arizona,Pac-12,5-Aug,6.1,44,40.3,14,33.3,82,-1,92,65.50%,90.70%,31.70%,55.50%,68.10%
2013,2010s,Arizona,Pac-12,5-Aug,15.4,25,39.8,17,22.9,45,-1.5,105,80.80%,88.20%,70.80%,62.10%,66.60%
2014,2010s,Arizona,Pac-12,4-Oct,13.5,33,38.4,22,24.7,52,-0.1,67,80.60%,86.70%,65.60%,67.10%,68.70%
2015,2010s,Arizona,Pac-12,6-Jul,6.8,48,39.9,13,31.5,81,-1.7,114,67.30%,90.70%,36.40%,69.50%,66.60%
2016,2010s,Arizona,Pac-12,9-Mar,-9.6,87,28.4,63,36.4,99,-1.6,114,25.20%,46.50%,20.20%,66.70%,63.90%
2017,2010s,Arizona,Pac-12,6-Jul,4.2,51,37.5,13,32.9,96,-0.5,85,61.00%,88.90%,27.20%,65.60%,63.00%
2018,2010s,Arizona,Pac-12,7-May,0.3,69,29.6,55,29.5,75,0.3,63,50.90%,57.80%,43.00%,61.80%,57.00%
2019,2010s,Arizona,Pac-12,8-Apr,-9.2,94,27.9,65,35.1,102,-2.1,123,27.90%,51.40%,21.00%,57.50%,46.40%
2020,2020s,Arizona,Pac-12,0-5,-12.4,108,24.7,90,37.3,113,0.2,43,16.70%,29.80%,12.60%,51.50%,36.30%
2021,2020s,Arizona,Pac-12,11-Jan,-16.4,113,14.2,127,31.2,95,0.6,48,12.50%,4.00%,30.60%,48.80%,33.80%
2022,2020s,Arizona,Pac-12,7-May,-5.3,80,32.7,37,38.2,123,0.2,59,35.40%,73.80%,6.30%,45.80%,28.70%
1931,1930s,Arizona State,BIAA,2-Jun,-0.9,63,11.7,53,12.6,71,,,47.00%,54.00%,40.30%,,
1932,1930s,Arizona State,BIAA,4.5-3.5,-8.6,105,8.7,73,17.3,120,,,22.50%,43.40%,11.20%,,
1933,1930s,Arizona State,BIAA,5-Mar,-12.4,120,5.5,106,17.9,128,,,12.20%,22.50%,9.10%,,
1934,1930s,Arizona State,BIAA,4.5-3.5,-7.1,100,7.6,89,14.8,106,,,24.70%,30.10%,23.90%,,
1935,1930s,Arizona State,BIAA,2.5-5.5,-10.8,115,1,129,11.8,88,,,15.80%,6.40%,41.70%,,24.40%
1936,1930s,Arizona State,BIAA,5-Apr,-9.4,111,5.6,105,15.1,110,,,17.90%,18.50%,22.40%,,18.60%
1937,1930s,Arizona State,BIAA,0.5-8.5,-17.5,127,0.2,131,17.7,116,,,5.30%,4.70%,11.40%,,15.20%
1938,1930s,Arizona State,BIAA,6-Mar,-12.2,114,4.2,117,16.5,106,,,10.70%,9.50%,18.00%,,14.90%
1939,1930s,Arizona State,BIAA,8.5-2.5,2.4,47,13.7,41,11.3,71,,,60.00%,70.10%,47.60%,,21.90%
1940,1940s,Arizona State,BIAA,3-Aug,4.6,43,17.4,29,12.8,66,,,67.60%,76.80%,53.70%,28.40%,32.30%
1941,1940s,Arizona State,BIAA,5.5-5.5,-8.8,98,7.6,99,16.4,83,,,23.30%,19.90%,31.20%,26.00%,33.40%
1942,1940s,Arizona State,BIAA,8-Feb,-21.4,128,2.7,126,24.1,122,,,3.20%,5.80%,4.00%,24.10%,32.90%
1946,1940s,Arizona State,BIAA,8-Mar,-19,120,6.3,122,25.3,120,,,5.20%,8.20%,6.80%,,
1947,1940s,Arizona State,BIAA,7-Apr,-13.3,105,13.2,74,26.4,116,,,14.70%,37.00%,6.60%,,
1948,1940s,Arizona State,BIAA,5-May,-1.2,64,24.2,25,25.4,108,,,46.20%,81.50%,13.80%,,
1949,1940s,Arizona State,BIAA,3-Jul,-1,67,26.8,18,27.8,112,,,46.80%,84.80%,12.80%,,
1950,1950s,Arizona State,BIAA,2-Sep,15.1,16,35.7,1,20.6,80,,,88.20%,99.40%,39.70%,,40.20%
1951,1950s,Arizona State,BIAA,6.5-3.5,3.9,48,27.7,15,23.8,93,,,62.80%,90.40%,25.30%,,51.70%
1952,1950s,Arizona State,BIAA,3-Jun,8.5,30,27.2,9,18.7,68,,,74.90%,91.30%,44.30%,,63.80%
1953,1950s,Arizona State,BIAA,4.5-5.5,0,61,24.7,10,24.6,102,,,50.10%,90.50%,12.40%,,64.60%
1954,1950s,Arizona State,BIAA,5-May,-3.1,71,24.2,20,27.3,103,,,40.10%,83.60%,9.70%,,63.20%
1955,1950s,Arizona State,BIAA,8.5-2.5,13.8,14,25,8,11.2,32,,,88.60%,94.30%,74.30%,51.80%,63.30%
1956,1950s,Arizona State,BIAA,1-Sep,18.7,5,27.8,3,9.1,23,,,95.50%,96.80%,84.70%,60.80%,69.80%
1957,1950s,Arizona State,BIAA,Oct-00,19.3,7,31.5,2,12.2,35,,,96.70%,99.50%,68.10%,69.00%,74.20%
1958,1950s,Arizona State,BIAA,3-Jul,5.7,38,23.4,11,17.7,72,,,69.50%,91.50%,39.50%,71.30%,78.10%
1959,1950s,Arizona State,BIAA,1-Oct,10.3,18,25.5,8,15.1,58,,,82.20%,95.30%,52.20%,74.90%,86.50%
1960,1960s,Arizona State,BIAA,3-Jul,9.4,34,23.9,12,14.5,56,,,78.50%,93.10%,54.50%,73.90%,84.50%
1961,1960s,Arizona State,BIAA,3-Jul,8.1,31,32.1,1,24,103,,,75.60%,99.20%,12.20%,75.20%,80.50%
1962,1960s,Arizona State,WAC,7.5-2.5,13.9,16,28.9,2,15.1,49,,,90.50%,98.10%,58.60%,76.70%,79.30%
1963,1960s,Arizona State,WAC,1-Aug,11.5,18,27,2,15.5,59,,,87.70%,98.70%,50.30%,80.50%,82.90%
1964,1960s,Arizona State,WAC,2-Aug,10.4,19,23.8,8,13.4,52,,,86.90%,95.40%,61.00%,85.20%,83.80%
1965,1960s,Arizona State,WAC,4-Jun,-3.3,76,13.9,85,17.1,70,,,36.40%,30.40%,48.20%,80.00%,75.40%
1966,1960s,Arizona State,WAC,5-May,-4.1,78,18.2,47,22.4,98,,,34.90%,56.70%,22.00%,73.90%,67.30%
1967,1960s,Arizona State,WAC,2-Aug,5.4,43,33.6,1,28.3,117,,,70.20%,99.20%,4.80%,71.20%,63.20%
1968,1960s,Arizona State,WAC,2-Aug,12,24,33.1,12,21.1,56,,,84.50%,92.90%,56.60%,72.70%,62.60%
1969,1960s,Arizona State,WAC,2-Aug,16.5,22,35.4,10,18.8,43,,,88.80%,94.50%,65.80%,73.40%,63.00%
1970,1970s,Arizona State,WAC,Nov-00,23.2,10,36.1,7,12.9,17,,,95.90%,97.40%,87.10%,75.10%,74.80%
1971,1970s,Arizona State,WAC,1-Nov,19.3,13,39.4,4,20.1,60,,,93.60%,99.20%,50.70%,76.90%,86.60%
1972,1970s,Arizona State,WAC,2-Oct,9.9,28,42.4,1,32.5,121,,,79.10%,99.90%,6.70%,75.80%,88.30%
1973,1970s,Arizona State,WAC,1-Nov,23.6,8,45.3,1,21.7,67,,,96.30%,99.80%,47.10%,76.70%,90.70%
1974,1970s,Arizona State,WAC,5-Jul,7.1,40,21.8,54,14.7,31,,,71.90%,62.20%,77.00%,75.20%,87.40%
1975,1970s,Arizona State,WAC,Dec-00,19.5,9,29,14,9.4,10,,,94.70%,91.30%,92.30%,81.00%,87.10%
1976,1970s,Arizona State,WAC,7-Apr,-0.8,78,23.4,41,24.2,111,,,47.20%,70.20%,24.80%,82.20%,77.80%
1977,1970s,Arizona State,WAC,3-Sep,10.7,34,33.7,10,23,100,,,80.90%,96.30%,37.50%,83.30%,78.20%
1978,1970s,Arizona State,Pac-10,3-Sep,15.7,15,29,13,13.3,17,,,91.70%,89.90%,87.10%,84.00%,77.30%
1979,1970s,Arizona State,Pac-10,6-Jun,9.9,27,28.1,17,18.3,58,,,81.70%,90.10%,58.00%,83.30%,79.20%
1980,1980s,Arizona State,Pac-10,4-Jul,11.9,23,30.5,12,18.6,50,,,83.20%,91.20%,62.90%,82.00%,76.90%
1981,1980s,Arizona State,Pac-10,2-Sep,18.4,10,35.2,3,16.8,46,,,94.30%,98.50%,68.00%,82.10%,86.30%
1982,1980s,Arizona State,Pac-10,2-Oct,19.8,6,29.3,23,9.5,4,,,94.20%,83.80%,95.50%,83.60%,89.00%
1983,1980s,Arizona State,Pac-10,6.5-4.5,15.2,15,30,16,14.8,20,,,89.80%,86.10%,83.10%,82.90%,88.60%
1984,1980s,Arizona State,Pac-10,6-May,10.5,23,27.8,32,17.4,23,,,83.30%,75.50%,81.90%,84.10%,88.90%
1985,1980s,Arizona State,Pac-10,4-Aug,14.6,19,24.7,33,10.1,8,,,88.50%,67.60%,92.70%,83.50%,90.00%
1986,1980s,Arizona State,Pac-10,10.5-1.5,23.6,6,33.4,8,9.8,7,,,96.00%,94.00%,95.10%,88.30%,90.30%
1987,1980s,Arizona State,Pac-10,7.5-4.5,13.5,22,33.3,9,19.8,37,,,83.20%,91.50%,64.80%,88.60%,88.10%
