"","date","opponent_rk","opponent","result","location","pace","off_eff","off_eff_rk","off_e_fg_pct","off_to_pct","off_or_pct","off_ftr","off_fgm_2","off_fga_2","off_fg_2_pct","off_fgm_3","off_fga_3","off_fg_3_pct","off_fg_3a_pct","def_eff","def_eff_rk","def_e_fg_pct","def_to_pct","def_or_pct","def_ftr","def_fgm_2","def_fga_2","def_fg_2_pct","def_fgm_3","def_fga_3","def_fg_3_pct","def_fg_3a_pct","wl","team_score","opponent_score","day_date","game_date","season","coach"
"616",2020-03-03,103,"Wake Forest","W, 93-83","H",74,125.9,2,59,9.5,22.9,45.9,21,44,47.7,10,17,58.8,27.9,112.3,25,56,17.6,23.3,37.9,19,38,50,9,20,45,34.5,"W",93,83,"Tue Mar 3",20200303,2020,"Roy Williams"
"617",2020-03-07,5,"Duke","L, 89-76","A",71,107.7,4,43.7,12.8,41.3,28.2,25,59,42.4,4,12,33.3,16.9,126.1,25,56.6,17,34.5,62.3,15,32,46.9,10,21,47.6,39.6,"L",76,89,"Sat Mar 7",20200307,2020,"Roy Williams"
"618",2020-03-10,105,"Virginia Tech","W, 78-56","N",63,123.7,3,52.7,12.7,40.6,44.6,19,43,44.2,7,13,53.8,23.2,88.8,8,37.1,11.1,25.6,17.7,8,26,30.8,10,36,27.8,58.1,"W",78,56,"Tue Mar 10",20200310,2020,"Roy Williams"
"619",2020-03-11,51,"Syracuse","L, 81-53","N",71,74.9,30,35,25.4,33.3,21.7,18,44,40.9,2,16,12.5,26.7,114.5,21,52.5,11.3,26.3,46.7,21,39,53.8,7,21,33.3,35,"L",53,81,"Wed Mar 11",20200311,2020,"Roy Williams"
"620",2020-11-25,232,"Charleston","W, 79-60","H",73,108.1,9,42.2,12.3,39.5,33.8,24,53,45.3,4,18,22.2,25.4,82.1,1,46.7,20.5,20,16.7,16,37,43.2,8,23,34.8,38.3,"W",79,60,"Wed Nov 25",20201125,2021,"Roy Williams"
"621",2020-11-30,176,"UNLV","W, 78-51","N",72,108.1,12,47.5,22.2,47.5,53.3,18,40,45,7,20,35,33.3,70.7,1,35.5,23.6,28.6,24.2,10,25,40,8,37,21.6,59.7,"W",78,51,"Mon Nov 30",20201130,2021,"Roy Williams"
"622",2020-12-01,57,"Stanford","W, 67-63","N",71,94.5,18,50,33.9,46.9,46.1,20,40,50,4,12,33.3,23.1,88.9,7,44.1,18.3,17.6,47.1,15,31,48.4,5,20,25,39.2,"W",67,63,"Tue Dec 1",20201201,2021,"Roy Williams"
"623",2020-12-02,26,"Texas","L, 69-67","N",68,97.9,15,42.2,20.5,45.5,55.2,23,49,46.9,1,9,11.1,15.5,100.8,7,49.2,16.1,21.1,23.3,16,38,42.1,9,22,40.9,36.7,"L",67,69,"Wed Dec 2",20201202,2021,"Roy Williams"
"624",2020-12-08,7,"Iowa","L, 93-80","A",79,101.8,16,52.3,22.9,38.5,30.8,25,50,50,6,15,40,23.1,118.4,13,55.9,14,30.4,18.4,17,36,47.2,17,40,42.5,52.6,"L",80,93,"Tue Dec 8",20201208,2021,"Roy Williams"
"625",2020-12-12,330,"North Carolina Central","W, 73-67","H",71,102.4,6,48,25.3,36.7,62,21,35,60,2,15,13.3,30,94,7,51.7,21.1,18.8,13.8,18,39,46.2,8,19,42.1,32.8,"W",73,67,"Sat Dec 12",20201212,2021,"Roy Williams"
"626",2020-12-19,49,"Kentucky","W, 75-63","N",70,107.1,9,46.7,15.7,34.9,47.5,21,41,51.2,5,20,25,32.8,90,6,42.5,22.9,37.8,56.6,18,40,45,3,13,23.1,24.5,"W",75,63,"Sat Dec 19",20201219,2021,"Roy Williams"
"627",2020-12-22,71,"N.C. State","L, 79-76","A",77,99,16,45.7,23.4,45,24.3,29,58,50,2,12,16.7,17.1,102.9,12,53.1,18.2,30.8,31.2,22,47,46.8,8,17,47.1,26.6,"L",76,79,"Tue Dec 22",20201222,2021,"Roy Williams"
"628",2020-12-30,37,"Georgia Tech","L, 72-67","A",70,95.5,16,51.8,25.7,30.3,25,17,36,47.2,8,20,40,35.7,102.7,9,62.8,18.5,6.9,31.4,17,29,58.6,10,22,45.5,43.1,"L",67,72,"Wed Dec 30",20201230,2021,"Roy Williams"
"629",2021-01-02,85,"Notre Dame","W, 66-65","H",63,104.3,17,40.6,12.7,48.9,20.3,16,46,34.8,8,23,34.8,33.3,102.8,9,57.3,15.8,10,10.9,15,25,60,11,30,36.7,54.5,"W",66,65,"Sat Jan 2",20210102,2021,"Roy Williams"
"630",2021-01-05,138,"Miami FL","W, 67-65","A",76,87.6,24,41.8,26.2,34.1,36.1,12,41,29.3,9,20,45,32.8,85,4,37.3,18.3,27.9,34.9,19,47,40.4,3,16,18.8,25.4,"W",67,65,"Tue Jan 5",20210105,2021,"Roy Williams"
"631",2021-01-12,42,"Syracuse","W, 81-75","H",70,115.2,4,43.1,15.6,53.3,31.5,24,49,49,5,24,20.8,32.9,106.7,14,55,19.9,29.4,20,18,31,58.1,10,29,34.5,48.3,"W",81,75,"Tue Jan 12",20210112,2021,"Roy Williams"
"632",2021-01-16,15,"Florida St.","L, 82-75","A",70,106.8,6,51.6,19.9,38.2,22.6,17,38,44.7,10,24,41.7,38.7,116.8,17,56,24.2,36,54,16,34,47.1,8,16,50,32,"L",75,82,"Sat Jan 16",20210116,2021,"Roy Williams"
