score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"Colorado 43, Colorado State 35",,,31,78,8,159,0,6,11,244,231.52672643210616,-12.473273567893841
"Penn State 30, Illinois 13",,,30,43,17,151,0,5,13,237,217.4183796471873,-19.581620352812706
"Appalachian State 43, East Carolina 28",,,26,71,15,134,0,5,8,234,213.5686304945617,-20.43136950543831
"Iowa 41, Western Michigan 10",,,27,51,31,119,0,3,12,231,204.12200888064064,-26.877991119359365
"UNLV 40, Vanderbilt 37",,,30,77,3,152,0,6,8,226,229.52013915748014,3.520139157480145
"Washington 41, Michigan State 7",,,24,48,34,134,0,2,10,226,198.19080933883157,-27.80919066116843
"North Texas 40, Louisiana Tech 37",,,23,77,3,153,0,2,5,222,215.4133472528618,-6.586652747138203
"BYU 38, Arkansas 31",,,30,69,7,131,1,3,13,220,224.3928539068917,4.392853906891702
"Texas State 77, Jackson State 34",,,26,111,43,141,0,2,5,220,214.35506791422804,-5.644932085771956
"Wake Forest 27, Old Dominion 24",,,30,51,3,147,0,5,14,216,223.67017458739042,7.67017458739042
"Syracuse 35, Purdue 20",,,23,55,15,150,0,5,5,214,205.45260720867702,-8.547392791322977
"Ohio State 63, Western Kentucky 10",,,26,73,53,132,0,6,6,214,200.50706272838787,-13.492937271612135
"Florida State 31, Boston College 29",,,23,60,2,133,0,3,8,213,209.3316957953913,-3.6683042046086882
"Rice 59, Texas Southern 7",,,27,66,52,119,0,2,11,213,200.50975566345974,-12.490244336540258
"Ole Miss 48, Georgia Tech 23",,,22,71,25,145,0,0,3,212,203.25787827452456,-8.742121725475442
"Liberty 55, Buffalo 27",,,33,82,28,146,0,2,9,212,227.93658968911603,15.936589689116033
"Georgia State 41, Charlotte 25",,,24,66,16,136,1,2,9,211,208.69059790324792,-2.3094020967520805
"Florida International 24, Connecticut 17",,,28,41,7,132,0,0,17,210,214.71225337149733,4.712253371497326
"Oregon 55, Hawai'i 10",,,22,65,45,127,0,1,9,210,193.44683668350385,-16.553163316496153
"TCU 36, Houston 13",,,26,49,23,150,1,4,6,210,207.59126638756538,-2.4087336124346166
"Memphis 28, Navy 24",,,28,52,4,136,0,4,11,209,217.62377535177586,8.623775351775862
"Florida 29, Tennessee 16",,,22,45,13,131,0,1,6,209,199.58439213950854,-9.415607860491463
"Fresno State 29, Arizona State 0",,,26,29,29,147,0,8,7,208,200.2179294382608,-7.782070561739204
"James Madison 16, Troy 14",,,27,30,2,130,0,1,15,208,211.09383218663254,3.0938321866325396
"Missouri 30, Kansas State 27",,,26,57,3,138,0,1,11,208,215.64640520823627,7.646405208236274
"Maryland 42, Virginia 14",,,22,56,28,130,1,4,8,205,197.07073552937922,-7.9292644706207795
"Clemson 48, Florida Atlantic 14",,,29,62,34,148,0,5,10,202,213.2862852520989,11.286285252098907
"Eastern Michigan 19, UMass 17",,,27,36,2,127,0,5,11,202,211.1492554447942,9.149255444794193
"South Alabama 33, Oklahoma State 7",,,24,40,26,127,0,2,13,202,198.5026495637332,-3.4973504362667995
"Notre Dame 41, Central Michigan 17",,,23,58,24,119,0,0,9,201,199.87128882045215,-1.1287111795478495
"Oklahoma 66, Tulsa 17",,,25,83,49,136,0,7,6,201,202.70584108103802,1.7058410810380167
"California 31, Idaho 17",,,23,48,14,140,0,3,4,199,202.738861185856,3.7388611858559955
"Nebraska 35, Northern Illinois 11",,,26,46,24,126,0,2,15,199,204.81559523892074,5.815595238920736
"West Virginia 17, Pittsburgh 6",,,23,23,11,118,0,4,8,199,195.31037571817603,-3.689624281823967
"Toledo 21, San Jose State 17",,,23,38,4,129,0,4,10,199,203.0970445694003,4.09704456940031
"Wisconsin 35, Georgia Southern 14",,,26,49,21,149,0,6,9,197,208.4494657623956,11.44946576239559
"LSU 41, Mississippi State 14",,,21,55,27,126,0,0,9,197,195.08502903868236,-1.9149709613176356
"Sacramento State 30, Stanford 23",,,21,53,7,135,0,4,3,196,201.3436883872235,5.343688387223494
"Boise State 42, North Dakota 18",,,26,60,24,133,0,5,8,196,207.76206755927294,11.762067559272936
"Army 37, UTSA 29",,,20,66,8,132,0,1,6,195,202.39626414192168,7.396264141921677
"Texas Tech 41, Tarleton State 3",,,24,44,38,152,0,4,9,195,198.0544446556311,3.0544446556311016
"Coastal Carolina 66, Duquesne 7",,,22,73,59,117,0,5,4,194,188.11189008960577,-5.888109910394235
